year,label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiapercent,montgomery_county_marylandestimate,montgomery_county_marylandpercent,wake_county_north_carolinaestimate,wake_county_north_carolinapercent,davidson_county_tennesseeestimate,davidson_county_tennesseepercent,dallas_county_texasestimate,dallas_county_texaspercent,fairfax_county_virginiaestimate,fairfax_county_virginiapercent,loudoun_county_virginiaestimate,loudoun_county_virginiapercent,unnamed_16,unnamed_17,unnamed_18,unnamed_19,unnamed_20,unnamed_21,unnamed_22
2020,Civilian employed population 16 years and over,"1,003,304","1,003,304","559,029","559,029","579,420","579,420","383,444","383,444","1,315,440","1,315,440","611,782","611,782","220,064","220,064",,,,,,,
2020,Private wage and salary workers,"851,378",84.90%,"404,238",72.30%,"475,180",82.00%,"316,893",82.60%,"1,109,529",84.30%,"450,484",73.60%,"172,645",78.50%,,,,,,,
2020,Government workers,"95,252",9.50%,"119,499",21.40%,"77,558",13.40%,"39,772",10.40%,"118,575",9.00%,"127,185",20.80%,"36,921",16.80%,,,,,,,
2020,Self-employed in own not incorporated business workers,"54,931",5.50%,"34,292",6.10%,"25,705",4.40%,"26,238",6.80%,"84,732",6.40%,"32,974",5.40%,"10,090",4.60%,,,,,,,
2020,Unpaid family workers,"1,743",0.20%,"1,000",0.20%,977,0.20%,541,0.10%,"2,604",0.20%,"1,139",0.20%,408,0.20%,,,,,,,
2020,INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS),,,,,,,,,,,,,,,,,,,,,
2020,Total households,"635,314","635,314","372,825","372,825","410,552","410,552","289,191","289,191","945,996","945,996","398,653","398,653","132,565","132,565",,,,,,,
2020,"Less than $10,000","18,079",2.80%,"12,513",3.40%,"12,964",3.20%,"17,183",5.90%,"53,228",5.60%,"10,669",2.70%,"2,321",1.80%,,,,,,,
2020,"$10,000 to $14,999","14,662",2.30%,"6,528",1.80%,"9,435",2.30%,"9,756",3.40%,"32,848",3.50%,"4,936",1.20%,"1,231",0.90%,,,,,,,
2020,"$15,000 to $24,999","25,527",4.00%,"14,790",4.00%,"24,303",5.90%,"22,292",7.70%,"76,876",8.10%,"11,504",2.90%,"2,704",2.00%,,,,,,,
2020,"$25,000 to $34,999","25,523",4.00%,"17,747",4.80%,"27,739",6.80%,"25,596",8.90%,"88,590",9.40%,"14,901",3.70%,"3,846",2.90%,,,,,,,
2020,"$35,000 to $49,999","37,976",6.00%,"25,022",6.70%,"44,090",10.70%,"39,502",13.70%,"128,422",13.60%,"23,792",6.00%,"6,264",4.70%,,,,,,,
2020,"$50,000 to $74,999","64,437",10.10%,"46,727",12.50%,"66,280",16.10%,"55,545",19.20%,"177,948",18.80%,"42,620",10.70%,"12,503",9.40%,,,,,,,
2020,"$75,000 to $99,999","59,684",9.40%,"43,099",11.60%,"55,103",13.40%,"38,511",13.30%,"119,899",12.70%,"44,859",11.30%,"12,532",9.50%,,,,,,,
2020,"$100,000 to $149,999","111,113",17.50%,"71,445",19.20%,"77,473",18.90%,"43,042",14.90%,"136,113",14.40%,"79,762",20.00%,"26,142",19.70%,,,,,,,
2020,"$150,000 to $199,999","85,980",13.50%,"47,419",12.70%,"42,576",10.40%,"16,899",5.80%,"56,358",6.00%,"60,016",15.10%,"22,930",17.30%,,,,,,,
2020,"$200,000 or more","192,333",30.30%,"87,535",23.50%,"50,589",12.30%,"20,865",7.20%,"75,714",8.00%,"105,594",26.50%,"42,092",31.80%,,,,,,,
2020,Median household income (dollars),"130,890",(X),"111,812",(X),"83,567",(X),"62,515",(X),"61,870",(X),"127,866",(X),"147,111",(X),,,,,,,
2020,Mean household income (dollars),"174,331",(X),"152,779",(X),"110,657",(X),"89,045",(X),"90,748",(X),"163,072",(X),"174,594",(X),,,,,,,
2020,With earnings,"542,456",85.40%,"316,876",85.00%,"352,961",86.00%,"244,272",84.50%,"813,215",86.00%,"345,544",86.70%,"119,925",90.50%,,,,,,,
2020,Mean earnings (dollars),"177,274",(X),"148,581",(X),"109,009",(X),"88,164",(X),"90,501",(X),"156,300",(X),"171,174",(X),,,,,,,
2020,With Social Security,"147,983",23.30%,"92,769",24.90%,"90,636",22.10%,"67,064",23.20%,"197,094",20.80%,"90,241",22.60%,"23,231",17.50%,,,,,,,
2020,Mean Social Security income (dollars),"21,675",(X),"22,215",(X),"22,007",(X),"20,096",(X),"19,062",(X),"22,309",(X),"21,996",(X),,,,,,,
2020,With retirement income,"99,991",15.70%,"74,044",19.90%,"75,529",18.40%,"43,558",15.10%,"118,011",12.50%,"89,729",22.50%,"23,697",17.90%,,,,,,,
2020,Mean retirement income (dollars),"35,871",(X),"48,564",(X),"28,459",(X),"24,157",(X),"26,034",(X),"54,193",(X),"43,303",(X),,,,,,,
2020,With Supplemental Security Income,"29,682",4.70%,"11,725",3.10%,"11,073",2.70%,"12,201",4.20%,"37,494",4.00%,"9,766",2.40%,"2,126",1.60%,,,,,,,
2020,Mean Supplemental Security Income (dollars),"10,712",(X),"9,649",(X),"9,846",(X),"10,129",(X),"9,756",(X),"9,435",(X),"9,847",(X),,,,,,,
2020,With cash public assistance income,"12,185",1.90%,"5,518",1.50%,"4,634",1.10%,"5,178",1.80%,"16,212",1.70%,"4,645",1.20%,"1,327",1.00%,,,,,,,
2020,Mean cash public assistance income (dollars),"5,190",(X),"3,359",(X),"3,002",(X),"3,021",(X),"2,905",(X),"4,592",(X),"4,553",(X),,,,,,,
2020,With Food Stamp/SNAP benefits in the past 12 months,"27,068",4.30%,"23,954",6.40%,"23,516",5.70%,"27,217",9.40%,"100,635",10.60%,"14,584",3.70%,"3,892",2.90%,,,,,,,
2020,Families,"454,149","454,149","260,678","260,678","270,784","270,784","156,379","156,379","607,453","607,453","281,773","281,773","103,902","103,902",,,,,,,
2020,"Less than $10,000","7,845",1.70%,"4,835",1.90%,"4,622",1.70%,"6,400",4.10%,"24,055",4.00%,"4,711",1.70%,910,0.90%,,,,,,,
2020,"$10,000 to $14,999","4,894",1.10%,"2,084",0.80%,"3,762",1.40%,"3,169",2.00%,"13,785",2.30%,"2,393",0.80%,580,0.60%,,,,,,,
2020,"$15,000 to $24,999","13,383",2.90%,"6,860",2.60%,"11,312",4.20%,"9,540",6.10%,"41,917",6.90%,"5,897",2.10%,"1,319",1.30%,,,,,,,
2020,"$25,000 to $34,999","14,404",3.20%,"10,285",3.90%,"12,704",4.70%,"11,494",7.40%,"53,665",8.80%,"8,803",3.10%,"2,415",2.30%,,,,,,,
2020,"$35,000 to $49,999","24,753",5.50%,"14,119",5.40%,"22,565",8.30%,"17,459",11.20%,"80,762",13.30%,"13,770",4.90%,"3,702",3.60%,,,,,,,
2020,"$50,000 to $74,999","42,842",9.40%,"28,322",10.90%,"36,651",13.50%,"28,226",18.00%,"110,403",18.20%,"24,291",8.60%,"7,760",7.50%,,,,,,,
2020,"$75,000 to $99,999","41,820",9.20%,"27,164",10.40%,"37,091",13.70%,"22,976",14.70%,"79,869",13.10%,"27,546",9.80%,"9,000",8.70%,,,,,,,
2020,"$100,000 to $149,999","79,935",17.60%,"51,418",19.70%,"59,884",22.10%,"28,827",18.40%,"98,444",16.20%,"53,891",19.10%,"19,750",19.00%,,,,,,,
2020,"$150,000 to $199,999","65,965",14.50%,"37,896",14.50%,"36,444",13.50%,"12,204",7.80%,"43,296",7.10%,"47,426",16.80%,"19,875",19.10%,,,,,,,
2020,"$200,000 or more","158,308",34.90%,"77,695",29.80%,"45,749",16.90%,"16,084",10.30%,"61,257",10.10%,"93,045",33.00%,"38,591",37.10%,,,,,,,
2020,Median family income (dollars),"148,065",(X),"133,556",(X),"104,072",(X),"77,046",(X),"69,689",(X),"149,576",(X),"164,579",(X),,,,,,,
2020,Mean family income (dollars),"193,784",(X),"176,761",(X),"130,935",(X),"106,981",(X),"102,499",(X),"185,183",(X),"191,672",(X),,,,,,,
2020,Per capita income (dollars),"59,297",(X),"55,643",(X),"42,721",(X),"37,958",(X),"33,604",(X),"58,338",(X),"57,513",(X),,,,,,,
2020,Nonfamily households,"181,165","181,165","112,147","112,147","139,768","139,768","132,812","132,812","338,543","338,543","116,880","116,880","28,663","28,663",,,,,,,
2020,Median nonfamily income (dollars),"82,185",(X),"68,931",(X),"52,013",(X),"47,954",(X),"47,117",(X),"83,585",(X),"83,879",(X),,,,,,,
2020,Mean nonfamily income (dollars),"116,017",(X),"91,399",(X),"68,294",(X),"65,330",(X),"65,804",(X),"103,450",(X),"103,506",(X),,,,,,,
2020,Median earnings for workers (dollars),"58,214",(X),"51,990",(X),"43,923",(X),"36,568",(X),"35,481",(X),"57,151",(X),"65,053",(X),,,,,,,
2020,"Median earnings for male full-time, year-round workers (dollars)","100,228",(X),"80,577",(X),"67,626",(X),"49,873",(X),"47,013",(X),"91,616",(X),"106,757",(X),,,,,,,
2020,"Median earnings for female full-time, year-round workers (dollars)","71,492",(X),"68,552",(X),"52,309",(X),"44,524",(X),"42,379",(X),"71,748",(X),"70,701",(X),,,,,,,
2020,HEALTH INSURANCE COVERAGE,,,,,,,,,,,,,,,,,,,,,
2020,Civilian noninstitutionalized population,"1,914,166","1,914,166","1,038,290","1,038,290","1,083,279","1,083,279","683,909","683,909","2,604,524","2,604,524","1,135,243","1,135,243","402,921","402,921",,,,,,,
2020,With health insurance coverage,"1,833,125",95.80%,"967,959",93.20%,"991,697",91.50%,"604,431",88.40%,"2,061,888",79.20%,"1,043,458",91.90%,"380,604",94.50%,,,,,,,
2020,With private health insurance,"1,481,671",77.40%,"804,048",77.40%,"846,958",78.20%,"471,295",68.90%,"1,488,575",57.20%,"937,634",82.60%,"354,521",88.00%,,,,,,,
2020,With public coverage,"511,265",26.70%,"284,927",27.40%,"247,620",22.90%,"199,844",29.20%,"744,017",28.60%,"233,463",20.60%,"58,766",14.60%,,,,,,,
2020,No health insurance coverage,"81,041",4.20%,"70,331",6.80%,"91,582",8.50%,"79,478",11.60%,"542,636",20.80%,"91,785",8.10%,"22,317",5.50%,,,,,,,
2020,Civilian noninstitutionalized population under 19 years,"443,247","443,247","255,297","255,297","277,481","277,481","152,294","152,294","721,298","721,298","285,873","285,873","119,634","119,634",,,,,,,
2020,No health insurance coverage,"8,562",1.90%,"7,404",2.90%,"12,799",4.60%,"11,413",7.50%,"98,604",13.70%,"15,022",5.30%,"4,512",3.80%,,,,,,,
2020,Civilian noninstitutionalized population 19 to 64 years,"1,215,228","1,215,228","624,224","624,224","680,914","680,914","448,374","448,374","1,607,324","1,607,324","695,586","695,586","245,636","245,636",,,,,,,
2020,In labor force:,"981,645","981,645","530,781","530,781","561,891","561,891","372,782","372,782","1,284,913","1,284,913","581,980","581,980","211,388","211,388",,,,,,,
2020,Employed:,"940,653","940,653","507,054","507,054","540,079","540,079","356,123","356,123","1,224,278","1,224,278","559,662","559,662","204,151","204,151",,,,,,,
2020,With health insurance coverage,"895,283",95.20%,"462,390",91.20%,"486,382",90.10%,"309,539",86.90%,"931,564",76.10%,"507,852",90.70%,"191,472",93.80%,,,,,,,
2020,With private health insurance,"822,947",87.50%,"431,705",85.10%,"472,194",87.40%,"291,042",81.70%,"886,694",72.40%,"495,361",88.50%,"188,428",92.30%,,,,,,,
2020,With public coverage,"86,146",9.20%,"39,474",7.80%,"25,651",4.70%,"26,845",7.50%,"65,754",5.40%,"24,138",4.30%,"6,848",3.40%,,,,,,,
2020,No health insurance coverage,"45,370",4.80%,"44,664",8.80%,"53,697",9.90%,"46,584",13.10%,"292,714",23.90%,"51,810",9.30%,"12,679",6.20%,,,,,,,
2020,Unemployed:,"40,992","40,992","23,727","23,727","21,812","21,812","16,659","16,659","60,635","60,635","22,318","22,318","7,237","7,237",,,,,,,
2020,With health insurance coverage,"35,679",87.00%,"18,904",79.70%,"15,244",69.90%,"11,029",66.20%,"30,962",51.10%,"17,351",77.70%,"6,233",86.10%,,,,,,,
2020,With private health insurance,"24,687",60.20%,"12,707",53.60%,"12,750",58.50%,"7,516",45.10%,"22,576",37.20%,"14,590",65.40%,"5,406",74.70%,,,,,,,
2020,With public coverage,"12,142",29.60%,"6,910",29.10%,"3,705",17.00%,"4,131",24.80%,"9,038",14.90%,"3,436",15.40%,"1,089",15.00%,,,,,,,
2020,No health insurance coverage,"5,313",13.00%,"4,823",20.30%,"6,568",30.10%,"5,630",33.80%,"29,673",48.90%,"4,967",22.30%,"1,004",13.90%,,,,,,,
2020,Not in labor force:,"233,583","233,583","93,443","93,443","119,023","119,023","75,592","75,592","322,411","322,411","113,606","113,606","34,248","34,248",,,,,,,
2020,With health insurance coverage,"214,296",91.70%,"82,548",88.30%,"102,683",86.30%,"60,678",80.30%,"208,159",64.60%,"96,272",84.70%,"30,865",90.10%,,,,,,,
2020,With private health insurance,"155,251",66.50%,"64,195",68.70%,"82,343",69.20%,"38,559",51.00%,"136,175",42.20%,"85,370",75.10%,"27,928",81.50%,,,,,,,
2020,With public coverage,"68,278",29.20%,"23,554",25.20%,"26,814",22.50%,"27,342",36.20%,"85,810",26.60%,"15,863",14.00%,"4,082",11.90%,,,,,,,
2020,No health insurance coverage,"19,287",8.30%,"10,895",11.70%,"16,340",13.70%,"14,914",19.70%,"114,252",35.40%,"17,334",15.30%,"3,383",9.90%,,,,,,,
2020,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,,,,,,,,,,,,,,,,,,,,,
2020,All families,(X),4.30%,(X),4.40%,(X),5.40%,(X),10.60%,(X),11.40%,(X),4.10%,(X),2.20%,,,,,,,
2020,With related children of the householder under 18 years,(X),5.50%,(X),6.20%,(X),8.30%,(X),17.80%,(X),16.70%,(X),6.10%,(X),2.50%,,,,,,,
2020,With related children of the householder under 5 years only,(X),3.70%,(X),4.60%,(X),9.30%,(X),12.90%,(X),14.00%,(X),5.50%,(X),2.70%,,,,,,,
2020,Married couple families,(X),2.60%,(X),2.80%,(X),2.50%,(X),5.00%,(X),6.60%,(X),2.30%,(X),1.30%,,,,,,,
2020,With related children of the householder under 18 years,(X),2.70%,(X),3.40%,(X),3.30%,(X),8.90%,(X),9.50%,(X),3.10%,(X),1.30%,,,,,,,
2020,With related children of the householder under 5 years only,(X),1.80%,(X),2.60%,(X),2.10%,(X),4.10%,(X),6.30%,(X),3.00%,(X),1.20%,,,,,,,
2020,"Families with female householder, no spouse present",(X),13.80%,(X),12.10%,(X),16.60%,(X),26.20%,(X),24.90%,(X),13.90%,(X),9.30%,,,,,,,
2020,With related children of the householder under 18 years,(X),20.70%,(X),18.20%,(X),22.30%,(X),35.20%,(X),32.70%,(X),21.10%,(X),12.60%,,,,,,,
2020,With related children of the householder under 5 years only,(X),18.60%,(X),17.60%,(X),24.70%,(X),43.90%,(X),34.30%,(X),22.00%,(X),15.80%,,,,,,,
2020,All people,(X),7.20%,(X),6.60%,(X),8.50%,(X),14.20%,(X),14.60%,(X),5.90%,(X),3.20%,,,,,,,
2020,Under 18 years,(X),7.30%,(X),7.90%,(X),10.60%,(X),22.10%,(X),21.90%,(X),7.70%,(X),2.90%,,,,,,,
2020,Related children of the householder under 18 years,(X),7.00%,(X),7.70%,(X),10.50%,(X),21.80%,(X),21.80%,(X),7.50%,(X),2.70%,,,,,,,
2020,Related children of the householder under 5 years,(X),6.20%,(X),8.70%,(X),11.80%,(X),20.50%,(X),22.80%,(X),8.60%,(X),3.10%,,,,,,,
2020,Related children of the householder 5 to 17 years,(X),7.30%,(X),7.30%,(X),10.00%,(X),22.50%,(X),21.40%,(X),7.10%,(X),2.60%,,,,,,,
2020,18 years and over,(X),7.10%,(X),6.20%,(X),7.90%,(X),12.10%,(X),12.00%,(X),5.30%,(X),3.40%,,,,,,,
2020,18 to 64 years,(X),6.90%,(X),6.00%,(X),8.00%,(X),12.60%,(X),12.10%,(X),5.40%,(X),3.20%,,,,,,,
2020,65 years and over,(X),8.30%,(X),7.00%,(X),7.10%,(X),9.70%,(X),11.30%,(X),5.10%,(X),4.30%,,,,,,,
2020,People in families,(X),4.50%,(X),4.70%,(X),6.20%,(X),12.20%,(X),13.30%,(X),4.40%,(X),2.00%,,,,,,,
2020,Unrelated individuals 15 years and over,(X),19.70%,(X),16.20%,(X),18.00%,(X),19.20%,(X),20.20%,(X),13.60%,(X),"12.8%Ã¯»¿""Label (Grouping)""","Santa Clara County, CaliforniaEstimate","Montgomery County, MarylandEstimate","Wake County, North CarolinaEstimate","Davidson County, TennesseeEstimate","Dallas County, TexasEstimate","Fairfax County, VirginiaEstimate","Loudoun County, VirginiaEstimate"
2020,Median value (dollars),"1,061,900","491,700","301,600","267,400","193,900","576,700","534,600Ã¯»¿""Label (Grouping)""","Santa Clara County, CaliforniaOwner-occupied housing units with a mortgageEstimate","Santa Clara County, CaliforniaPercent owner-occupied housing units with a mortgageEstimate","Montgomery County, MarylandOwner-occupied housing units with a mortgageEstimate","Montgomery County, MarylandPercent owner-occupied housing units with a mortgageEstimate","Wake County, North CarolinaOwner-occupied housing units with a mortgageEstimate","Wake County, North CarolinaPercent owner-occupied housing units with a mortgageEstimate","Davidson County, TennesseeOwner-occupied housing units with a mortgageEstimate","Davidson County, TennesseePercent owner-occupied housing units with a mortgageEstimate","Dallas County, TexasOwner-occupied housing units with a mortgageEstimate","Dallas County, TexasPercent owner-occupied housing units with a mortgageEstimate","Fairfax County, VirginiaOwner-occupied housing units with a mortgageEstimate","Fairfax County, VirginiaPercent owner-occupied housing units with a mortgageEstimate","Loudoun County, VirginiaOwner-occupied housing units with a mortgageEstimate","Loudoun County, VirginiaPercent owner-occupied housing units with a mortgageEstimate"
2020,Owner-occupied housing units with a mortgage,"249,944","249,944","177,141","177,141","197,802","197,802","110,185","110,185","285,425","285,425","205,899","205,899","86,735","86,735",,,,,,,
2020,VALUE,,,,,,,,,,,,,,,,,,,,,
2020,"Less than $50,000","1,615",0.60%,"1,506",0.90%,"3,216",1.60%,"1,333",1.20%,"6,688",2.30%,"1,353",0.70%,524,0.60%,,,,,,,
2020,"$50,000 to $99,999",702,0.30%,710,0.40%,"2,739",1.40%,"3,091",2.80%,"26,226",9.20%,718,0.30%,397,0.50%,,,,,,,
2020,"$100,000 to $299,999","5,534",2.20%,"26,970",15.20%,"90,348",45.70%,"59,692",54.20%,"165,266",57.90%,"17,180",8.30%,"6,966",8.00%,,,,,,,
2020,"$300,000 to $499,999","9,778",3.90%,"61,632",34.80%,"71,598",36.20%,"30,355",27.50%,"49,850",17.50%,"61,838",30.00%,"29,588",34.10%,,,,,,,
2020,"$500,000 to $749,999","37,402",15.00%,"46,205",26.10%,"21,567",10.90%,"8,883",8.10%,"18,835",6.60%,"73,554",35.70%,"33,625",38.80%,,,,,,,
2020,"$750,000 to $999,999","56,946",22.80%,"21,215",12.00%,"5,677",2.90%,"3,773",3.40%,"6,804",2.40%,"32,662",15.90%,"12,572",14.50%,,,,,,,
2020,"$1,000,000 or more","137,967",55.20%,"18,903",10.70%,"2,657",1.30%,"3,058",2.80%,"11,756",4.10%,"18,594",9.00%,"3,063",3.50%,,,,,,,
2020,Median (dollars),"1,070,600","1,070,600","492,800","492,800","305,800","305,800","269,500","269,500","211,200","211,200","574,300","574,300","543,800","543,800",,,,,,,
2020,MORTGAGE STATUS,,,,,,,,,,,,,,,,,,,,,
2020,With a mortgage and either a second mortgage or home equity loan,"44,458",17.80%,"32,061",18.10%,"30,553",15.40%,"13,444",12.20%,"16,067",5.60%,"35,045",17.00%,"15,843",18.30%,,,,,,,
2020,Only Second mortgage,"6,281",2.50%,"4,832",2.70%,"3,392",1.70%,"2,984",2.70%,"5,666",2.00%,"4,740",2.30%,"2,909",3.40%,,,,,,,
2020,Only Home equity loan,"36,254",14.50%,"25,977",14.70%,"26,401",13.30%,"10,147",9.20%,"9,848",3.50%,"29,150",14.20%,"12,482",14.40%,,,,,,,
2020,Both second mortgage and home equity loan,"1,923",0.80%,"1,252",0.70%,760,0.40%,313,0.30%,553,0.20%,"1,155",0.60%,452,0.50%,,,,,,,
2020,No second mortgage and no home equity loan,"204,505",81.80%,"144,106",81.40%,"166,310",84.10%,"96,330",87.40%,"268,509",94.10%,"169,755",82.40%,"70,695",81.50%,,,,,,,
2020,Home equity loan without a primary mortgage,981,0.40%,974,0.50%,939,0.50%,411,0.40%,849,0.30%,"1,099",0.50%,197,0.20%,,,,,,,
2020,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),,,,,,,,,,,,,,,,,,,,,
2020,"Less than $10,000","2,507",1.00%,"1,995",1.10%,"2,343",1.20%,"2,319",2.10%,"5,859",2.10%,"2,224",1.10%,529,0.60%,,,,,,,
2020,"$10,000 to $24,999","5,437",2.20%,"3,326",1.90%,"6,566",3.30%,"4,969",4.50%,"13,614",4.80%,"3,437",1.70%,"1,161",1.30%,,,,,,,
2020,"$25,000 to $34,999","4,666",1.90%,"3,616",2.00%,"6,178",3.10%,"5,563",5.00%,"14,668",5.10%,"3,316",1.60%,818,0.90%,,,,,,,
2020,"$35,000 to $49,999","7,115",2.80%,"6,987",3.90%,"11,977",6.10%,"10,199",9.30%,"25,402",8.90%,"6,678",3.20%,"1,919",2.20%,,,,,,,
2020,"$50,000 to $74,999","15,938",6.40%,"15,364",8.70%,"26,069",13.20%,"19,925",18.10%,"47,905",16.80%,"15,015",7.30%,"5,470",6.30%,,,,,,,
2020,"$75,000 to $99,999","18,387",7.40%,"17,805",10.10%,"27,265",13.80%,"18,715",17.00%,"42,129",14.80%,"17,754",8.60%,"7,272",8.40%,,,,,,,
2020,"$100,000 to $149,999","41,025",16.40%,"36,466",20.60%,"49,383",25.00%,"24,293",22.00%,"60,661",21.30%,"41,277",20.00%,"17,007",19.60%,,,,,,,
2020,"$150,000 or more","154,869",62.00%,"91,582",51.70%,"68,021",34.40%,"24,202",22.00%,"75,187",26.30%,"116,198",56.40%,"52,559",60.60%,,,,,,,
2020,Median household income (dollars),"184,206","184,206","153,976","153,976","117,316","117,316","90,287","90,287","95,580","95,580","166,420","166,420","175,182","175,182",,,,,,,
2020,RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS,,,,,,,,,,,,,,,,,,,,,
2020,Less than 2.0,"12,563",5.00%,"33,233",18.80%,"63,151",31.90%,"26,816",24.30%,"118,917",41.70%,"29,484",14.30%,"14,927",17.20%,,,,,,,
2020,2.0 to 2.9,"23,622",9.50%,"49,505",27.90%,"63,160",31.90%,"30,771",27.90%,"72,713",25.50%,"57,939",28.10%,"28,281",32.60%,,,,,,,
2020,3.0 to 3.9,"33,588",13.40%,"33,308",18.80%,"30,768",15.60%,"19,187",17.40%,"35,195",12.30%,"43,733",21.20%,"19,589",22.60%,,,,,,,
2020,4.0 or more,"179,294",71.70%,"60,438",34.10%,"40,238",20.30%,"32,800",29.80%,"57,430",20.10%,"73,912",35.90%,"23,688",27.30%,,,,,,,
2020,Not computed,877,0.40%,657,0.40%,485,0.20%,611,0.60%,"1,170",0.40%,831,0.40%,250,0.30%,,,,,,,
2020,MONTHLY HOUSING COSTS,,,,,,,,,,,,,,,,,,,,,
2020,Less than $200,112,0.00%,114,0.10%,"1,001",0.50%,9,0.00%,93,0.00%,165,0.10%,18,0.00%,,,,,,,
2020,$200 to $399,254,0.10%,168,0.10%,495,0.30%,159,0.10%,597,0.20%,136,0.10%,22,0.00%,,,,,,,
2020,$400 to $599,543,0.20%,506,0.30%,"1,921",1.00%,"1,406",1.30%,"2,495",0.90%,276,0.10%,413,0.50%,,,,,,,
2020,$600 to $799,"1,444",0.60%,"1,157",0.70%,"5,273",2.70%,"4,660",4.20%,"9,570",3.40%,905,0.40%,484,0.60%,,,,,,,
2020,$800 to $999,"2,021",0.80%,"2,482",1.40%,"13,548",6.80%,"11,557",10.50%,"19,851",7.00%,"2,085",1.00%,733,0.80%,,,,,,,
2020,"$1,000 to $1,499","9,908",4.00%,"15,688",8.90%,"55,090",27.90%,"39,084",35.50%,"86,279",30.20%,"12,207",5.90%,"5,399",6.20%,,,,,,,
2020,"$1,500 to $1,999","17,001",6.80%,"30,460",17.20%,"50,695",25.60%,"24,950",22.60%,"68,296",23.90%,"27,915",13.60%,"9,241",10.70%,,,,,,,
2020,"$2,000 to $2,499","26,748",10.70%,"32,810",18.50%,"32,139",16.20%,"12,883",11.70%,"36,727",12.90%,"39,042",19.00%,"15,056",17.40%,,,,,,,
2020,"$2,500 to $2,999","32,585",13.00%,"29,531",16.70%,"19,814",10.00%,"6,875",6.20%,"20,074",7.00%,"38,794",18.80%,"16,974",19.60%,,,,,,,
2020,"$3,000 or more","159,328",63.70%,"64,225",36.30%,"17,826",9.00%,"8,602",7.80%,"41,443",14.50%,"84,374",41.00%,"38,395",44.30%,,,,,,,
2020,Median (dollars),"3,548","3,548","2,588","2,588","1,704","1,704","1,478","1,478","1,654","1,654","2,761","2,761","2,854","2,854",,,,,,,
2020,MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,,,,,,,,,,,,,,,,,,,,,
2020,"Less than $20,000","4,868",1.90%,"3,499",2.00%,"6,159",3.10%,"4,683",4.30%,"13,086",4.60%,"3,322",1.60%,881,1.00%,,,,,,,
2020,Less than 20 percent,16,0.00%,0,0.00%,989,0.50%,0,0.00%,8,0.00%,23,0.00%,0,0.00%,,,,,,,
2020,20 to 29 percent,0,0.00%,0,0.00%,50,0.00%,12,0.00%,60,0.00%,0,0.00%,0,0.00%,,,,,,,
2020,30 percent or more,"4,852",1.90%,"3,499",2.00%,"5,120",2.60%,"4,671",4.20%,"13,018",4.60%,"3,299",1.60%,881,1.00%,,,,,,,
2020,"$20,000 to $34,999","6,865",2.70%,"4,781",2.70%,"8,443",4.30%,"7,557",6.90%,"19,885",7.00%,"4,824",2.30%,"1,377",1.60%,,,,,,,
2020,Less than 20 percent,50,0.00%,68,0.00%,87,0.00%,55,0.00%,95,0.00%,22,0.00%,0,0.00%,,,,,,,
2020,20 to 29 percent,188,0.10%,44,0.00%,502,0.30%,494,0.40%,"1,343",0.50%,89,0.00%,21,0.00%,,,,,,,
2020,30 percent or more,"6,627",2.70%,"4,669",2.60%,"7,854",4.00%,"7,008",6.40%,"18,447",6.50%,"4,713",2.30%,"1,356",1.60%,,,,,,,
2020,"$35,000 to $49,999","7,115",2.80%,"6,987",3.90%,"11,977",6.10%,"10,199",9.30%,"25,402",8.90%,"6,678",3.20%,"1,919",2.20%,,,,,,,
2020,Less than 20 percent,39,0.00%,147,0.10%,568,0.30%,601,0.50%,"1,333",0.50%,82,0.00%,180,0.20%,,,,,,,
2020,20 to 29 percent,330,0.10%,349,0.20%,"3,383",1.70%,"2,677",2.40%,"5,175",1.80%,498,0.20%,99,0.10%,,,,,,,
2020,30 percent or more,"6,746",2.70%,"6,491",3.70%,"8,026",4.10%,"6,921",6.30%,"18,894",6.60%,"6,098",3.00%,"1,640",1.90%,,,,,,,
2020,"$50,000 to $74,999","15,938",6.40%,"15,364",8.70%,"26,069",13.20%,"19,925",18.10%,"47,905",16.80%,"15,015",7.30%,"5,470",6.30%,,,,,,,
2020,Less than 20 percent,870,0.30%,"1,048",0.60%,"5,558",2.80%,"4,010",3.60%,"7,938",2.80%,455,0.20%,357,0.40%,,,,,,,
2020,20 to 29 percent,"1,774",0.70%,"3,164",1.80%,"12,996",6.60%,"9,337",8.50%,"20,263",7.10%,"2,303",1.10%,"1,196",1.40%,,,,,,,
2020,30 percent or more,"13,294",5.30%,"11,152",6.30%,"7,515",3.80%,"6,578",6.00%,"19,704",6.90%,"12,257",6.00%,"3,917",4.50%,,,,,,,
2020,"$75,000 or more","214,281",85.70%,"145,853",82.30%,"144,669",73.10%,"67,210",61.00%,"177,977",62.40%,"175,229",85.10%,"76,838",88.60%,,,,,,,
