Label (Grouping),"Santa Clara County, California!!Occupied housing units!!Estimate","Santa Clara County, California!!Owner-occupied housing units!!Estimate","Santa Clara County, California!!Renter-occupied housing units!!Estimate","Montgomery County, Maryland!!Occupied housing units!!Estimate","Montgomery County, Maryland!!Owner-occupied housing units!!Estimate","Montgomery County, Maryland!!Renter-occupied housing units!!Estimate","Wake County, North Carolina!!Occupied housing units!!Estimate","Wake County, North Carolina!!Owner-occupied housing units!!Estimate","Wake County, North Carolina!!Renter-occupied housing units!!Estimate","Davidson County, Tennessee!!Occupied housing units!!Estimate","Davidson County, Tennessee!!Owner-occupied housing units!!Estimate","Davidson County, Tennessee!!Renter-occupied housing units!!Estimate","Dallas County, Texas!!Occupied housing units!!Estimate","Dallas County, Texas!!Owner-occupied housing units!!Estimate","Dallas County, Texas!!Renter-occupied housing units!!Estimate","Fairfax County, Virginia!!Occupied housing units!!Estimate","Fairfax County, Virginia!!Owner-occupied housing units!!Estimate","Fairfax County, Virginia!!Renter-occupied housing units!!Estimate","Loudoun County, Virginia!!Occupied housing units!!Estimate","Loudoun County, Virginia!!Owner-occupied housing units!!Estimate","Loudoun County, Virginia!!Renter-occupied housing units!!Estimate",Year,Data Type,"Santa Clara County, California!!Estimate","Montgomery County, Maryland!!Estimate","Wake County, North Carolina!!Estimate","Davidson County, Tennessee!!Estimate","Dallas County, Texas!!Estimate","Fairfax County, Virginia!!Estimate","Loudoun County, Virginia!!Estimate","Santa Clara County, California!!Percent","Montgomery County, Maryland!!Percent","Wake County, North Carolina!!Percent","Davidson County, Tennessee!!Percent","Dallas County, Texas!!Percent","Fairfax County, Virginia!!Percent","Loudoun County, Virginia!!Percent","Santa Clara County, California!!Owner-occupied housing units with a mortgage!!Estimate","Montgomery County, Maryland!!Owner-occupied housing units with a mortgage!!Estimate","Wake County, North Carolina!!Owner-occupied housing units with a mortgage!!Estimate","Davidson County, Tennessee!!Owner-occupied housing units with a mortgage!!Estimate","Dallas County, Texas!!Owner-occupied housing units with a mortgage!!Estimate","Fairfax County, Virginia!!Owner-occupied housing units with a mortgage!!Estimate","Loudoun County, Virginia!!Owner-occupied housing units with a mortgage!!Estimate","Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Mean income (dollars)!!Estimate","Montgomery County, Maryland!!Total!!Estimate","Montgomery County, Maryland!!Mean income (dollars)!!Estimate","Wake County, North Carolina!!Total!!Estimate","Wake County, North Carolina!!Mean income (dollars)!!Estimate","Davidson County, Tennessee!!Total!!Estimate","Davidson County, Tennessee!!Mean income (dollars)!!Estimate","Dallas County, Texas!!Total!!Estimate","Dallas County, Texas!!Mean income (dollars)!!Estimate","Fairfax County, Virginia!!Total!!Estimate","Fairfax County, Virginia!!Mean income (dollars)!!Estimate","Loudoun County, Virginia!!Total!!Estimate","Loudoun County, Virginia!!Mean income (dollars)!!Estimate","Santa Clara County, California!!Owner-occupied housing units with a mortgage!!Margin of Error","Montgomery County, Maryland!!Owner-occupied housing units with a mortgage!!Margin of Error","Wake County, North Carolina!!Owner-occupied housing units with a mortgage!!Margin of Error","Davidson County, Tennessee!!Owner-occupied housing units with a mortgage!!Margin of Error","Dallas County, Texas!!Owner-occupied housing units with a mortgage!!Margin of Error","Fairfax County, Virginia!!Owner-occupied housing units with a mortgage!!Margin of Error","Loudoun County, Virginia!!Owner-occupied housing units with a mortgage!!Margin of Error","Santa Clara County, California!!Owner-occupied housing units without a mortgage!!Estimate","Montgomery County, Maryland!!Owner-occupied housing units without a mortgage!!Estimate","Wake County, North Carolina!!Owner-occupied housing units without a mortgage!!Estimate","Davidson County, Tennessee!!Owner-occupied housing units without a mortgage!!Estimate","Dallas County, Texas!!Owner-occupied housing units without a mortgage!!Estimate","Fairfax County, Virginia!!Owner-occupied housing units without a mortgage!!Estimate","Loudoun County, Virginia!!Owner-occupied housing units without a mortgage!!Estimate","Santa Clara County, California!!Percent owner-occupied housing units with a mortgage!!Estimate","Montgomery County, Maryland!!Percent owner-occupied housing units with a mortgage!!Estimate","Wake County, North Carolina!!Percent owner-occupied housing units with a mortgage!!Estimate","Davidson County, Tennessee!!Percent owner-occupied housing units with a mortgage!!Estimate","Dallas County, Texas!!Percent owner-occupied housing units with a mortgage!!Estimate","Fairfax County, Virginia!!Percent owner-occupied housing units with a mortgage!!Estimate","Loudoun County, Virginia!!Percent owner-occupied housing units with a mortgage!!Estimate","Santa Clara County, California!!Number!!Estimate","Santa Clara County, California!!Percent Distribution!!Estimate","Montgomery County, Maryland!!Number!!Estimate","Montgomery County, Maryland!!Percent Distribution!!Estimate","Wake County, North Carolina!!Number!!Estimate","Wake County, North Carolina!!Percent Distribution!!Estimate","Davidson County, Tennessee!!Number!!Estimate","Davidson County, Tennessee!!Percent Distribution!!Estimate","Dallas County, Texas!!Number!!Estimate","Dallas County, Texas!!Percent Distribution!!Estimate","Fairfax County, Virginia!!Number!!Estimate","Fairfax County, Virginia!!Percent Distribution!!Estimate","Loudoun County, Virginia!!Number!!Estimate","Loudoun County, Virginia!!Percent Distribution!!Estimate","Santa Clara County, California!!Percent owner-occupied housing units without a mortgage!!Estimate","Montgomery County, Maryland!!Percent owner-occupied housing units without a mortgage!!Estimate","Wake County, North Carolina!!Percent owner-occupied housing units without a mortgage!!Estimate","Davidson County, Tennessee!!Percent owner-occupied housing units without a mortgage!!Estimate","Dallas County, Texas!!Percent owner-occupied housing units without a mortgage!!Estimate","Fairfax County, Virginia!!Percent owner-occupied housing units without a mortgage!!Estimate","Loudoun County, Virginia!!Percent owner-occupied housing units without a mortgage!!Estimate","Santa Clara County, California!!Percent occupied housing units!!Estimate","Santa Clara County, California!!Percent owner-occupied housing units!!Estimate","Santa Clara County, California!!Percent renter-occupied housing units!!Estimate","Montgomery County, Maryland!!Percent occupied housing units!!Estimate","Montgomery County, Maryland!!Percent owner-occupied housing units!!Estimate","Montgomery County, Maryland!!Percent renter-occupied housing units!!Estimate","Wake County, North Carolina!!Percent occupied housing units!!Estimate","Wake County, North Carolina!!Percent owner-occupied housing units!!Estimate","Wake County, North Carolina!!Percent renter-occupied housing units!!Estimate","Davidson County, Tennessee!!Percent occupied housing units!!Estimate","Davidson County, Tennessee!!Percent owner-occupied housing units!!Estimate","Davidson County, Tennessee!!Percent renter-occupied housing units!!Estimate","Dallas County, Texas!!Percent occupied housing units!!Estimate","Dallas County, Texas!!Percent owner-occupied housing units!!Estimate","Dallas County, Texas!!Percent renter-occupied housing units!!Estimate","Fairfax County, Virginia!!Percent occupied housing units!!Estimate","Fairfax County, Virginia!!Percent owner-occupied housing units!!Estimate","Fairfax County, Virginia!!Percent renter-occupied housing units!!Estimate","Loudoun County, Virginia!!Percent occupied housing units!!Estimate","Loudoun County, Virginia!!Percent owner-occupied housing units!!Estimate","Loudoun County, Virginia!!Percent renter-occupied housing units!!Estimate","Santa Clara County, California!!Married-couple family household!!Estimate","Santa Clara County, California!!Male householder, no spouse present, family household!!Estimate","Santa Clara County, California!!Female householder, no spouse present, family household!!Estimate","Santa Clara County, California!!Nonfamily household!!Estimate","Montgomery County, Maryland!!Married-couple family household!!Estimate","Montgomery County, Maryland!!Male householder, no spouse present, family household!!Estimate","Montgomery County, Maryland!!Female householder, no spouse present, family household!!Estimate","Montgomery County, Maryland!!Nonfamily household!!Estimate","Wake County, North Carolina!!Married-couple family household!!Estimate","Wake County, North Carolina!!Male householder, no spouse present, family household!!Estimate","Wake County, North Carolina!!Female householder, no spouse present, family household!!Estimate","Wake County, North Carolina!!Nonfamily household!!Estimate","Davidson County, Tennessee!!Married-couple family household!!Estimate","Davidson County, Tennessee!!Male householder, no spouse present, family household!!Estimate","Davidson County, Tennessee!!Female householder, no spouse present, family household!!Estimate","Davidson County, Tennessee!!Nonfamily household!!Estimate","Dallas County, Texas!!Married-couple family household!!Estimate","Dallas County, Texas!!Male householder, no spouse present, family household!!Estimate","Dallas County, Texas!!Female householder, no spouse present, family household!!Estimate","Dallas County, Texas!!Nonfamily household!!Estimate","Fairfax County, Virginia!!Married-couple family household!!Estimate","Fairfax County, Virginia!!Male householder, no spouse present, family household!!Estimate","Fairfax County, Virginia!!Female householder, no spouse present, family household!!Estimate","Fairfax County, Virginia!!Nonfamily household!!Estimate","Loudoun County, Virginia!!Married-couple family household!!Estimate","Loudoun County, Virginia!!Male householder, no spouse present, family household!!Estimate","Loudoun County, Virginia!!Female householder, no spouse present, family household!!Estimate","Loudoun County, Virginia!!Nonfamily household!!Estimate"
    HOUSEHOLD TYPE (INCLUDING LIVING ALONE) AND AGE OF HOUSEHOLDER,,,,,,,,,,,,,,,,,,,,,,2020,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Family households,"454,149","284,385","169,764","260,678","188,969","71,709","270,784","199,687","71,097","156,379","102,562","53,817","607,453","359,965","247,488","281,773","208,371","73,402","103,902","85,401","18,501",2020,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.5%,79.4%,61.3%,69.9%,77.3%,55.9%,66.0%,76.1%,47.9%,54.1%,65.2%,40.8%,64.2%,75.6%,52.7%,70.7%,76.2%,58.6%,78.4%,82.9%,62.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Married-couple family,"360,029","240,611","119,418","203,331","158,899","44,432","211,269","171,807","39,462","107,588","81,309","26,279","410,965","281,273","129,692","230,661","180,803","49,858","88,541","76,235","12,306",2020,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.7%,67.2%,43.1%,54.5%,65.0%,34.7%,51.5%,65.5%,26.6%,37.2%,51.7%,19.9%,43.4%,59.0%,27.6%,57.9%,66.1%,39.8%,66.8%,74.0%,41.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Householder 15 to 34 years,"50,929","16,559","34,370","22,168","10,466","11,702","32,643","18,786","13,857","24,203","12,671","11,532","78,568","28,214","50,354","26,283","12,796","13,487","11,395","8,087","3,308",2020,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0%,4.6%,12.4%,5.9%,4.3%,9.1%,8.0%,7.2%,9.3%,8.4%,8.1%,8.7%,8.3%,5.9%,10.7%,6.6%,4.7%,10.8%,8.6%,7.9%,11.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Householder 35 to 64 years,"243,238","168,673","74,565","138,360","110,264","28,096","142,155","119,909","22,246","63,559","50,116","13,443","262,971","192,086","70,885","158,566","126,218","32,348","66,819","58,887","7,932",2020,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3%,47.1%,26.9%,37.1%,45.1%,21.9%,34.6%,45.7%,15.0%,22.0%,31.8%,10.2%,27.8%,40.3%,15.1%,39.8%,46.2%,25.8%,50.4%,57.2%,26.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Householder 65 years and over,"65,862","55,379","10,483","42,803","38,169","4,634","36,471","33,112","3,359","19,826","18,522","1,304","69,426","60,973","8,453","45,812","41,789","4,023","10,327","9,261","1,066",2020,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4%,15.5%,3.8%,11.5%,15.6%,3.6%,8.9%,12.6%,2.3%,6.9%,11.8%,1.0%,7.3%,12.8%,1.8%,11.5%,15.3%,3.2%,7.8%,9.0%,3.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Other family,"94,120","43,774","50,346","57,347","30,070","27,277","59,515","27,880","31,635","48,791","21,253","27,538","196,488","78,692","117,796","51,112","27,568","23,544","15,361","9,166","6,195",2020,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8%,12.2%,18.2%,15.4%,12.3%,21.3%,14.5%,10.6%,21.3%,16.9%,13.5%,20.9%,20.8%,16.5%,25.1%,12.8%,10.1%,18.8%,11.6%,8.9%,21.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Male householder, no spouse present","31,415","14,934","16,481","15,840","8,649","7,191","16,046","9,123","6,923","11,987","5,963","6,024","53,889","23,677","30,212","15,926","9,350","6,576","5,037","3,106","1,931",2020,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9%,4.2%,5.9%,4.2%,3.5%,5.6%,3.9%,3.5%,4.7%,4.1%,3.8%,4.6%,5.7%,5.0%,6.4%,4.0%,3.4%,5.3%,3.8%,3.0%,6.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    Householder 15 to 34 years,"6,812","1,832","4,980","3,094","1,118","1,976","3,380",953,"2,427","3,421",982,"2,439","18,055","5,012","13,043","3,091","1,018","2,073","1,059",458,601,2020,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1%,0.5%,1.8%,0.8%,0.5%,1.5%,0.8%,0.4%,1.6%,1.2%,0.6%,1.9%,1.9%,1.1%,2.8%,0.8%,0.4%,1.7%,0.8%,0.4%,2.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    Householder 35 to 64 years,"20,652","9,962","10,690","10,515","5,787","4,728","10,439","6,162","4,277","7,133","3,874","3,259","30,282","14,089","16,193","10,758","6,558","4,200","3,540","2,237","1,303",2020,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3%,2.8%,3.9%,2.8%,2.4%,3.7%,2.5%,2.3%,2.9%,2.5%,2.5%,2.5%,3.2%,3.0%,3.4%,2.7%,2.4%,3.4%,2.7%,2.2%,4.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    Householder 65 years and over,"3,951","3,140",811,"2,231","1,744",487,"2,227","2,008",219,"1,433","1,107",326,"5,552","4,576",976,"2,077","1,774",303,438,411,27,2020,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6%,0.9%,0.3%,0.6%,0.7%,0.4%,0.5%,0.8%,0.1%,0.5%,0.7%,0.2%,0.6%,1.0%,0.2%,0.5%,0.6%,0.2%,0.3%,0.4%,0.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Female householder, no spouse present","62,705","28,840","33,865","41,507","21,421","20,086","43,469","18,757","24,712","36,804","15,290","21,514","142,599","55,015","87,584","35,186","18,218","16,968","10,324","6,060","4,264",2020,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9%,8.1%,12.2%,11.1%,8.8%,15.7%,10.6%,7.2%,16.7%,12.7%,9.7%,16.3%,15.1%,11.5%,18.6%,8.8%,6.7%,13.6%,7.8%,5.9%,14.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    Householder 15 to 34 years,"10,324","1,437","8,887","6,147","1,142","5,005","8,909","1,447","7,462","10,247","1,604","8,643","38,490","5,459","33,031","5,871",924,"4,947","1,612",502,"1,110",2020,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6%,0.4%,3.2%,1.6%,0.5%,3.9%,2.2%,0.6%,5.0%,3.5%,1.0%,6.6%,4.1%,1.1%,7.0%,1.5%,0.3%,4.0%,1.2%,0.5%,3.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    Householder 35 to 64 years,"38,860","17,011","21,849","28,609","14,640","13,969","29,859","13,806","16,053","21,277","9,447","11,830","86,231","35,938","50,293","24,292","12,914","11,378","7,223","4,376","2,847",2020,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1%,4.7%,7.9%,7.7%,6.0%,10.9%,7.3%,5.3%,10.8%,7.4%,6.0%,9.0%,9.1%,7.5%,10.7%,6.1%,4.7%,9.1%,5.4%,4.2%,9.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    Householder 65 years and over,"13,521","10,392","3,129","6,751","5,639","1,112","4,701","3,504","1,197","5,280","4,239","1,041","17,878","13,618","4,260","5,023","4,380",643,"1,489","1,182",307,2020,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1%,2.9%,1.1%,1.8%,2.3%,0.9%,1.1%,1.3%,0.8%,1.8%,2.7%,0.8%,1.9%,2.9%,0.9%,1.3%,1.6%,0.5%,1.1%,1.1%,1.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Nonfamily households,"181,165","73,843","107,322","112,147","55,644","56,503","139,768","62,591","77,177","132,812","54,828","77,984","338,543","116,410","222,133","116,880","65,057","51,823","28,663","17,618","11,045",2020,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5%,20.6%,38.7%,30.1%,22.7%,44.1%,34.0%,23.9%,52.1%,45.9%,34.8%,59.2%,35.8%,24.4%,47.3%,29.3%,23.8%,41.4%,21.6%,17.1%,37.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Householder living alone,"129,387","58,947","70,440","91,249","47,973","43,276","107,818","51,846","55,972","101,166","44,890","56,276","275,719","98,629","177,090","93,247","55,204","38,043","22,097","13,992","8,105",2020,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4%,16.5%,25.4%,24.5%,19.6%,33.8%,26.3%,19.8%,37.7%,35.0%,28.5%,42.7%,29.1%,20.7%,37.7%,23.4%,20.2%,30.4%,16.7%,13.6%,27.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Householder 15 to 34 years,"24,132","3,581","20,551","14,112","2,563","11,549","24,108","4,412","19,696","28,381","5,511","22,870","72,243","6,966","65,277","15,058","3,799","11,259","3,222","1,416","1,806",2020,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8%,1.0%,7.4%,3.8%,1.0%,9.0%,5.9%,1.7%,13.3%,9.8%,3.5%,17.4%,7.6%,1.5%,13.9%,3.8%,1.4%,9.0%,2.4%,1.4%,6.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Householder 35 to 64 years,"56,392","25,198","31,194","39,710","20,851","18,859","52,902","28,087","24,815","44,956","22,615","22,341","131,330","49,344","81,986","44,820","27,391","17,429","11,654","7,884","3,770",2020,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9%,7.0%,11.3%,10.7%,8.5%,14.7%,12.9%,10.7%,16.7%,15.5%,14.4%,17.0%,13.9%,10.4%,17.5%,11.2%,10.0%,13.9%,8.8%,7.7%,12.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Householder 65 years and over,"48,863","30,168","18,695","37,427","24,559","12,868","30,808","19,347","11,461","27,829","16,764","11,065","72,146","42,319","29,827","33,369","24,014","9,355","7,221","4,692","2,529",2020,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7%,8.4%,6.7%,10.0%,10.0%,10.0%,7.5%,7.4%,7.7%,9.6%,10.7%,8.4%,7.6%,8.9%,6.4%,8.4%,8.8%,7.5%,5.4%,4.6%,8.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Householder not living alone,"51,778","14,896","36,882","20,898","7,671","13,227","31,950","10,745","21,205","31,646","9,938","21,708","62,824","17,781","45,043","23,633","9,853","13,780","6,566","3,626","2,940",2020,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1%,4.2%,13.3%,5.6%,3.1%,10.3%,7.8%,4.1%,14.3%,10.9%,6.3%,16.5%,6.6%,3.7%,9.6%,5.9%,3.6%,11.0%,5.0%,3.5%,10.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Householder 15 to 34 years,"29,908","3,317","26,591","10,048","1,513","8,535","20,091","3,953","16,138","19,823","3,793","16,030","33,611","4,120","29,491","12,315","2,519","9,796","3,221","1,117","2,104",2020,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7%,0.9%,9.6%,2.7%,0.6%,6.7%,4.9%,1.5%,10.9%,6.9%,2.4%,12.2%,3.6%,0.9%,6.3%,3.1%,0.9%,7.8%,2.4%,1.1%,7.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Householder 35 to 64 years,"16,403","7,582","8,821","8,125","4,080","4,045","9,898","5,290","4,608","10,078","4,988","5,090","24,467","10,388","14,079","8,999","5,270","3,729","2,480","1,794",686,2020,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6%,2.1%,3.2%,2.2%,1.7%,3.2%,2.4%,2.0%,3.1%,3.5%,3.2%,3.9%,2.6%,2.2%,3.0%,2.3%,1.9%,3.0%,1.9%,1.7%,2.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Householder 65 years and over,"5,467","3,997","1,470","2,725","2,078",647,"1,961","1,502",459,"1,745","1,157",588,"4,746","3,273","1,473","2,319","2,064",255,865,715,150,2020,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9%,1.1%,0.5%,0.7%,0.8%,0.5%,0.5%,0.6%,0.3%,0.6%,0.7%,0.4%,0.5%,0.7%,0.3%,0.6%,0.8%,0.2%,0.7%,0.7%,0.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    FAMILY TYPE AND PRESENCE OF OWN CHILDREN,,,,,,,,,,,,,,,,,,,,,,2020,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        With related children of householder under 18 years,"225,621","127,536","98,085","128,598","85,072","43,526","141,215","98,498","42,717","75,105","42,184","32,921","325,249","167,079","158,170","140,785","95,652","45,133","62,799","51,435","11,364",2020,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5%,35.6%,35.4%,34.5%,34.8%,33.9%,34.4%,37.6%,28.8%,26.0%,26.8%,25.0%,34.4%,35.1%,33.7%,35.3%,35.0%,36.0%,47.4%,49.9%,38.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            With own children of householder under 18 years,"207,686","116,447","91,239","119,667","78,417","41,250","133,409","93,212","40,197","67,492","37,021","30,471","287,257","142,588","144,669","133,029","90,121","42,908","59,358","48,827","10,531",2020,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7%,32.5%,32.9%,32.1%,32.1%,32.2%,32.5%,35.5%,27.1%,23.3%,23.5%,23.1%,30.4%,29.9%,30.8%,33.4%,33.0%,34.3%,44.8%,47.4%,35.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Under 6 years only,"47,809","23,067","24,742","25,058","15,618","9,440","29,136","19,349","9,787","20,490","10,977","9,513","59,623","24,084","35,539","29,913","18,435","11,478","12,749","10,376","2,373",2020,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5%,6.4%,8.9%,6.7%,6.4%,7.4%,7.1%,7.4%,6.6%,7.1%,7.0%,7.2%,6.3%,5.1%,7.6%,7.5%,6.7%,9.2%,9.6%,10.1%,8.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                Under 6 years and 6 to 17 years,"35,042","16,596","18,446","20,773","11,709","9,064","25,681","16,724","8,957","13,309","6,812","6,497","65,658","28,464","37,194","23,480","14,201","9,279","11,161","8,947","2,214",2020,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5%,4.6%,6.7%,5.6%,4.8%,7.1%,6.3%,6.4%,6.0%,4.6%,4.3%,4.9%,6.9%,6.0%,7.9%,5.9%,5.2%,7.4%,8.4%,8.7%,7.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                6 to 17 years only,"124,835","76,784","48,051","73,836","51,090","22,746","78,592","57,139","21,453","33,693","19,232","14,461","161,976","90,040","71,936","79,636","57,485","22,151","35,448","29,504","5,944",2020,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6%,21.4%,17.3%,19.8%,20.9%,17.7%,19.1%,21.8%,14.5%,11.7%,12.2%,11.0%,17.1%,18.9%,15.3%,20.0%,21.0%,17.7%,26.7%,28.6%,20.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            No own children of householder under 18 years,"17,935","11,089","6,846","8,931","6,655","2,276","7,806","5,286","2,520","7,613","5,163","2,450","37,992","24,491","13,501","7,756","5,531","2,225","3,441","2,608",833,2020,occupancy_characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8%,3.1%,2.5%,2.4%,2.7%,1.8%,1.9%,2.0%,1.7%,2.6%,3.3%,1.9%,4.0%,5.1%,2.9%,1.9%,2.0%,1.8%,2.6%,2.5%,2.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
