Label (Grouping),"Santa Clara County, California!!Total!!Estimate",demographic,count
    10 to 14 years,6.5%,"Davidson County, Tennessee!!Total!!Estimate",5.6%
    15 to 19 years,6.4%,"Davidson County, Tennessee!!Total!!Estimate",6.3%
    20 to 24 years,6.4%,"Davidson County, Tennessee!!Total!!Estimate",8.6%
    25 to 29 years,7.4%,"Davidson County, Tennessee!!Total!!Estimate",9.8%
    30 to 34 years,7.6%,"Davidson County, Tennessee!!Total!!Estimate",8.3%
    35 to 39 years,7.8%,"Davidson County, Tennessee!!Total!!Estimate",7.1%
    40 to 44 years,7.8%,"Davidson County, Tennessee!!Total!!Estimate",6.6%
    45 to 49 years,7.7%,"Davidson County, Tennessee!!Total!!Estimate",6.8%
    50 to 54 years,7.1%,"Davidson County, Tennessee!!Total!!Estimate",6.7%
    55 to 59 years,5.6%,"Davidson County, Tennessee!!Total!!Estimate",6.0%
    60 to 64 years,4.9%,"Davidson County, Tennessee!!Total!!Estimate",4.7%
    65 to 69 years,3.5%,"Davidson County, Tennessee!!Total!!Estimate",3.2%
    70 to 74 years,2.5%,"Davidson County, Tennessee!!Total!!Estimate",2.6%
    75 to 79 years,1.9%,"Davidson County, Tennessee!!Total!!Estimate",1.9%
    80 to 84 years,1.6%,"Davidson County, Tennessee!!Total!!Estimate",1.4%
    85 years and over,1.6%,"Davidson County, Tennessee!!Total!!Estimate",1.6%
SELECTED AGE CATEGORIES,,"Davidson County, Tennessee!!Total!!Estimate",
    5 to 14 years,13.2%,"Davidson County, Tennessee!!Total!!Estimate",11.4%
    15 to 17 years,3.9%,"Davidson County, Tennessee!!Total!!Estimate",3.2%
    18 to 24 years,8.9%,"Davidson County, Tennessee!!Total!!Estimate",11.7%
    15 to 44 years,43.5%,"Davidson County, Tennessee!!Total!!Estimate",46.7%
    16 years and over,78.4%,"Davidson County, Tennessee!!Total!!Estimate",80.5%
    18 years and over,75.9%,"Davidson County, Tennessee!!Total!!Estimate",78.3%
    60 years and over,15.9%,"Davidson County, Tennessee!!Total!!Estimate",15.2%
    62 years and over,13.8%,"Davidson County, Tennessee!!Total!!Estimate",13.2%
    65 years and over,11.1%,"Davidson County, Tennessee!!Total!!Estimate",10.6%
    75 years and over,5.1%,"Davidson County, Tennessee!!Total!!Estimate",4.9%
SUMMARY INDICATORS,,"Davidson County, Tennessee!!Total!!Estimate",
    Median age (years),36.2,"Davidson County, Tennessee!!Total!!Estimate",34.0
    Sex ratio (males per 100 females),100.6,"Davidson County, Tennessee!!Total!!Estimate",93.7
    Age dependency ratio,54.2,"Davidson County, Tennessee!!Total!!Estimate",47.6
        Old-Age dependency ratio,17.1,"Davidson County, Tennessee!!Total!!Estimate",15.6
        Child dependency ratio,37.2,"Davidson County, Tennessee!!Total!!Estimate",32.0
PERCENT IMPUTED,,"Davidson County, Tennessee!!Total!!Estimate",
    Sex,0.2%,"Davidson County, Tennessee!!Total!!Estimate",0.2%
    Age,1.6%,"Davidson County, Tennessee!!Total!!Estimate",0.6%
Total population,"1,787,694","Davidson County, Tennessee!!Total!!Margin of Error",*****
AGE,,"Davidson County, Tennessee!!Total!!Margin of Error",
    Under 5 years,7.0%,"Davidson County, Tennessee!!Total!!Margin of Error",±0.1
    5 to 9 years,6.8%,"Davidson County, Tennessee!!Total!!Margin of Error",±0.3
    10 to 14 years,6.5%,"Davidson County, Tennessee!!Total!!Margin of Error",±0.3
    15 to 19 years,6.4%,"Davidson County, Tennessee!!Total!!Margin of Error",±0.1
    20 to 24 years,6.4%,"Davidson County, Tennessee!!Total!!Margin of Error",±0.1
    25 to 29 years,7.4%,"Davidson County, Tennessee!!Total!!Margin of Error",±0.1
    30 to 34 years,7.6%,"Davidson County, Tennessee!!Total!!Margin of Error",±0.1
    35 to 39 years,7.8%,"Davidson County, Tennessee!!Total!!Margin of Error",±0.4
    40 to 44 years,7.8%,"Davidson County, Tennessee!!Total!!Margin of Error",±0.4
    45 to 49 years,7.7%,"Davidson County, Tennessee!!Total!!Margin of Error",±0.1
    50 to 54 years,7.1%,"Davidson County, Tennessee!!Total!!Margin of Error",±0.1
    55 to 59 years,5.6%,"Davidson County, Tennessee!!Total!!Margin of Error",±0.4
    60 to 64 years,4.9%,"Davidson County, Tennessee!!Total!!Margin of Error",±0.3
    65 to 69 years,3.5%,"Davidson County, Tennessee!!Total!!Margin of Error",±0.3
    70 to 74 years,2.5%,"Davidson County, Tennessee!!Total!!Margin of Error",±0.3
    75 to 79 years,1.9%,"Davidson County, Tennessee!!Total!!Margin of Error",±0.2
    80 to 84 years,1.6%,"Davidson County, Tennessee!!Total!!Margin of Error",±0.2
    85 years and over,1.6%,"Davidson County, Tennessee!!Total!!Margin of Error",±0.2
SELECTED AGE CATEGORIES,,"Davidson County, Tennessee!!Total!!Margin of Error",
    5 to 14 years,13.2%,"Davidson County, Tennessee!!Total!!Margin of Error",±0.1
    15 to 17 years,3.9%,"Davidson County, Tennessee!!Total!!Margin of Error",±0.1
    18 to 24 years,8.9%,"Davidson County, Tennessee!!Total!!Margin of Error",±0.1
    15 to 44 years,43.5%,"Davidson County, Tennessee!!Total!!Margin of Error",±0.1
    16 years and over,78.4%,"Davidson County, Tennessee!!Total!!Margin of Error",±0.2
    18 years and over,75.9%,"Davidson County, Tennessee!!Total!!Margin of Error",±0.1
    60 years and over,15.9%,"Davidson County, Tennessee!!Total!!Margin of Error",±0.4
    62 years and over,13.8%,"Davidson County, Tennessee!!Total!!Margin of Error",±0.3
    65 years and over,11.1%,"Davidson County, Tennessee!!Total!!Margin of Error",±0.1
    75 years and over,5.1%,"Davidson County, Tennessee!!Total!!Margin of Error",±0.1
SUMMARY INDICATORS,,"Davidson County, Tennessee!!Total!!Margin of Error",
    Median age (years),36.2,"Davidson County, Tennessee!!Total!!Margin of Error",±0.2
    Sex ratio (males per 100 females),100.6,"Davidson County, Tennessee!!Total!!Margin of Error",±0.5
    Age dependency ratio,54.2,"Davidson County, Tennessee!!Total!!Margin of Error",±0.2
        Old-Age dependency ratio,17.1,"Davidson County, Tennessee!!Total!!Margin of Error",±0.2
        Child dependency ratio,37.2,"Davidson County, Tennessee!!Total!!Margin of Error",±0.1
PERCENT IMPUTED,,"Davidson County, Tennessee!!Total!!Margin of Error",
    Sex,0.2%,"Davidson County, Tennessee!!Total!!Margin of Error",(X)
    Age,1.6%,"Davidson County, Tennessee!!Total!!Margin of Error",(X)
Total population,"1,787,694","Davidson County, Tennessee!!Male!!Estimate","303,822"
AGE,,"Davidson County, Tennessee!!Male!!Estimate",
    Under 5 years,7.0%,"Davidson County, Tennessee!!Male!!Estimate",7.5%
    5 to 9 years,6.8%,"Davidson County, Tennessee!!Male!!Estimate",5.8%
    10 to 14 years,6.5%,"Davidson County, Tennessee!!Male!!Estimate",6.1%
    15 to 19 years,6.4%,"Davidson County, Tennessee!!Male!!Estimate",6.8%
    20 to 24 years,6.4%,"Davidson County, Tennessee!!Male!!Estimate",8.3%
    25 to 29 years,7.4%,"Davidson County, Tennessee!!Male!!Estimate",9.8%
    30 to 34 years,7.6%,"Davidson County, Tennessee!!Male!!Estimate",8.6%
    35 to 39 years,7.8%,"Davidson County, Tennessee!!Male!!Estimate",7.0%
    40 to 44 years,7.8%,"Davidson County, Tennessee!!Male!!Estimate",7.4%
    45 to 49 years,7.7%,"Davidson County, Tennessee!!Male!!Estimate",7.0%
    50 to 54 years,7.1%,"Davidson County, Tennessee!!Male!!Estimate",6.5%
    55 to 59 years,5.6%,"Davidson County, Tennessee!!Male!!Estimate",6.2%
    60 to 64 years,4.9%,"Davidson County, Tennessee!!Male!!Estimate",4.2%
    65 to 69 years,3.5%,"Davidson County, Tennessee!!Male!!Estimate",2.9%
    70 to 74 years,2.5%,"Davidson County, Tennessee!!Male!!Estimate",2.2%
    75 to 79 years,1.9%,"Davidson County, Tennessee!!Male!!Estimate",1.5%
    80 to 84 years,1.6%,"Davidson County, Tennessee!!Male!!Estimate",1.1%
    85 years and over,1.6%,"Davidson County, Tennessee!!Male!!Estimate",1.0%
SELECTED AGE CATEGORIES,,"Davidson County, Tennessee!!Male!!Estimate",
    5 to 14 years,13.2%,"Davidson County, Tennessee!!Male!!Estimate",12.0%
    15 to 17 years,3.9%,"Davidson County, Tennessee!!Male!!Estimate",3.4%
    18 to 24 years,8.9%,"Davidson County, Tennessee!!Male!!Estimate",11.7%
    15 to 44 years,43.5%,"Davidson County, Tennessee!!Male!!Estimate",47.9%
    16 years and over,78.4%,"Davidson County, Tennessee!!Male!!Estimate",79.2%
    18 years and over,75.9%,"Davidson County, Tennessee!!Male!!Estimate",77.1%
    60 years and over,15.9%,"Davidson County, Tennessee!!Male!!Estimate",12.9%
    62 years and over,13.8%,"Davidson County, Tennessee!!Male!!Estimate",11.2%
    65 years and over,11.1%,"Davidson County, Tennessee!!Male!!Estimate",8.7%
    75 years and over,5.1%,"Davidson County, Tennessee!!Male!!Estimate",3.6%
SUMMARY INDICATORS,,"Davidson County, Tennessee!!Male!!Estimate",
    Median age (years),36.2,"Davidson County, Tennessee!!Male!!Estimate",33.1
    Sex ratio (males per 100 females),100.6,"Davidson County, Tennessee!!Male!!Estimate",(X)
    Age dependency ratio,54.2,"Davidson County, Tennessee!!Male!!Estimate",(X)
        Old-Age dependency ratio,17.1,"Davidson County, Tennessee!!Male!!Estimate",(X)
        Child dependency ratio,37.2,"Davidson County, Tennessee!!Male!!Estimate",(X)
PERCENT IMPUTED,,"Davidson County, Tennessee!!Male!!Estimate",
    Sex,0.2%,"Davidson County, Tennessee!!Male!!Estimate",(X)
    Age,1.6%,"Davidson County, Tennessee!!Male!!Estimate",(X)
Total population,"1,787,694","Davidson County, Tennessee!!Male!!Margin of Error",±775
AGE,,"Davidson County, Tennessee!!Male!!Margin of Error",
    Under 5 years,7.0%,"Davidson County, Tennessee!!Male!!Margin of Error",±0.1
    5 to 9 years,6.8%,"Davidson County, Tennessee!!Male!!Margin of Error",±0.5
    10 to 14 years,6.5%,"Davidson County, Tennessee!!Male!!Margin of Error",±0.5
    15 to 19 years,6.4%,"Davidson County, Tennessee!!Male!!Margin of Error",±0.3
    20 to 24 years,6.4%,"Davidson County, Tennessee!!Male!!Margin of Error",±0.3
    25 to 29 years,7.4%,"Davidson County, Tennessee!!Male!!Margin of Error",±0.1
    30 to 34 years,7.6%,"Davidson County, Tennessee!!Male!!Margin of Error",±0.1
    35 to 39 years,7.8%,"Davidson County, Tennessee!!Male!!Margin of Error",±0.6
    40 to 44 years,7.8%,"Davidson County, Tennessee!!Male!!Margin of Error",±0.6
    45 to 49 years,7.7%,"Davidson County, Tennessee!!Male!!Margin of Error",±0.2
    50 to 54 years,7.1%,"Davidson County, Tennessee!!Male!!Margin of Error",±0.1
    55 to 59 years,5.6%,"Davidson County, Tennessee!!Male!!Margin of Error",±0.5
    60 to 64 years,4.9%,"Davidson County, Tennessee!!Male!!Margin of Error",±0.5
    65 to 69 years,3.5%,"Davidson County, Tennessee!!Male!!Margin of Error",±0.3
    70 to 74 years,2.5%,"Davidson County, Tennessee!!Male!!Margin of Error",±0.3
    75 to 79 years,1.9%,"Davidson County, Tennessee!!Male!!Margin of Error",±0.3
    80 to 84 years,1.6%,"Davidson County, Tennessee!!Male!!Margin of Error",±0.3
    85 years and over,1.6%,"Davidson County, Tennessee!!Male!!Margin of Error",±0.3
SELECTED AGE CATEGORIES,,"Davidson County, Tennessee!!Male!!Margin of Error",
    5 to 14 years,13.2%,"Davidson County, Tennessee!!Male!!Margin of Error",±0.1
    15 to 17 years,3.9%,"Davidson County, Tennessee!!Male!!Margin of Error",±0.2
    18 to 24 years,8.9%,"Davidson County, Tennessee!!Male!!Margin of Error",±0.1
    15 to 44 years,43.5%,"Davidson County, Tennessee!!Male!!Margin of Error",±0.2
    16 years and over,78.4%,"Davidson County, Tennessee!!Male!!Margin of Error",±0.3
    18 years and over,75.9%,"Davidson County, Tennessee!!Male!!Margin of Error",±0.2
    60 years and over,15.9%,"Davidson County, Tennessee!!Male!!Margin of Error",±0.5
    62 years and over,13.8%,"Davidson County, Tennessee!!Male!!Margin of Error",±0.4
    65 years and over,11.1%,"Davidson County, Tennessee!!Male!!Margin of Error",±0.2
    75 years and over,5.1%,"Davidson County, Tennessee!!Male!!Margin of Error",±0.1
SUMMARY INDICATORS,,"Davidson County, Tennessee!!Male!!Margin of Error",
    Median age (years),36.2,"Davidson County, Tennessee!!Male!!Margin of Error",±0.3
    Sex ratio (males per 100 females),100.6,"Davidson County, Tennessee!!Male!!Margin of Error",(X)
    Age dependency ratio,54.2,"Davidson County, Tennessee!!Male!!Margin of Error",(X)
        Old-Age dependency ratio,17.1,"Davidson County, Tennessee!!Male!!Margin of Error",(X)
        Child dependency ratio,37.2,"Davidson County, Tennessee!!Male!!Margin of Error",(X)
PERCENT IMPUTED,,"Davidson County, Tennessee!!Male!!Margin of Error",
    Sex,0.2%,"Davidson County, Tennessee!!Male!!Margin of Error",(X)
    Age,1.6%,"Davidson County, Tennessee!!Male!!Margin of Error",(X)
Total population,"1,787,694","Davidson County, Tennessee!!Female!!Estimate","324,311"
AGE,,"Davidson County, Tennessee!!Female!!Estimate",
    Under 5 years,7.0%,"Davidson County, Tennessee!!Female!!Estimate",6.7%
    5 to 9 years,6.8%,"Davidson County, Tennessee!!Female!!Estimate",5.9%
    10 to 14 years,6.5%,"Davidson County, Tennessee!!Female!!Estimate",5.0%
    15 to 19 years,6.4%,"Davidson County, Tennessee!!Female!!Estimate",5.8%
    20 to 24 years,6.4%,"Davidson County, Tennessee!!Female!!Estimate",9.0%
    25 to 29 years,7.4%,"Davidson County, Tennessee!!Female!!Estimate",9.7%
    30 to 34 years,7.6%,"Davidson County, Tennessee!!Female!!Estimate",8.0%
    35 to 39 years,7.8%,"Davidson County, Tennessee!!Female!!Estimate",7.2%
    40 to 44 years,7.8%,"Davidson County, Tennessee!!Female!!Estimate",5.9%
    45 to 49 years,7.7%,"Davidson County, Tennessee!!Female!!Estimate",6.7%
    50 to 54 years,7.1%,"Davidson County, Tennessee!!Female!!Estimate",6.8%
    55 to 59 years,5.6%,"Davidson County, Tennessee!!Female!!Estimate",5.9%
    60 to 64 years,4.9%,"Davidson County, Tennessee!!Female!!Estimate",5.1%
    65 to 69 years,3.5%,"Davidson County, Tennessee!!Female!!Estimate",3.4%
    70 to 74 years,2.5%,"Davidson County, Tennessee!!Female!!Estimate",2.9%
    75 to 79 years,1.9%,"Davidson County, Tennessee!!Female!!Estimate",2.2%
    80 to 84 years,1.6%,"Davidson County, Tennessee!!Female!!Estimate",1.7%
    85 years and over,1.6%,"Davidson County, Tennessee!!Female!!Estimate",2.2%
SELECTED AGE CATEGORIES,,"Davidson County, Tennessee!!Female!!Estimate",
    5 to 14 years,13.2%,"Davidson County, Tennessee!!Female!!Estimate",10.9%
    15 to 17 years,3.9%,"Davidson County, Tennessee!!Female!!Estimate",3.0%
    18 to 24 years,8.9%,"Davidson County, Tennessee!!Female!!Estimate",11.8%
    15 to 44 years,43.5%,"Davidson County, Tennessee!!Female!!Estimate",45.6%
    16 years and over,78.4%,"Davidson County, Tennessee!!Female!!Estimate",81.7%
    18 years and over,75.9%,"Davidson County, Tennessee!!Female!!Estimate",79.4%
    60 years and over,15.9%,"Davidson County, Tennessee!!Female!!Estimate",17.4%
    62 years and over,13.8%,"Davidson County, Tennessee!!Female!!Estimate",15.1%
    65 years and over,11.1%,"Davidson County, Tennessee!!Female!!Estimate",12.3%
    75 years and over,5.1%,"Davidson County, Tennessee!!Female!!Estimate",6.1%
SUMMARY INDICATORS,,"Davidson County, Tennessee!!Female!!Estimate",
    Median age (years),36.2,"Davidson County, Tennessee!!Female!!Estimate",34.9
    Sex ratio (males per 100 females),100.6,"Davidson County, Tennessee!!Female!!Estimate",(X)
    Age dependency ratio,54.2,"Davidson County, Tennessee!!Female!!Estimate",(X)
        Old-Age dependency ratio,17.1,"Davidson County, Tennessee!!Female!!Estimate",(X)
        Child dependency ratio,37.2,"Davidson County, Tennessee!!Female!!Estimate",(X)
PERCENT IMPUTED,,"Davidson County, Tennessee!!Female!!Estimate",
    Sex,0.2%,"Davidson County, Tennessee!!Female!!Estimate",(X)
    Age,1.6%,"Davidson County, Tennessee!!Female!!Estimate",(X)
Total population,"1,787,694","Davidson County, Tennessee!!Female!!Margin of Error",±775
AGE,,"Davidson County, Tennessee!!Female!!Margin of Error",
    Under 5 years,7.0%,"Davidson County, Tennessee!!Female!!Margin of Error",±0.1
    5 to 9 years,6.8%,"Davidson County, Tennessee!!Female!!Margin of Error",±0.5
    10 to 14 years,6.5%,"Davidson County, Tennessee!!Female!!Margin of Error",±0.5
    15 to 19 years,6.4%,"Davidson County, Tennessee!!Female!!Margin of Error",±0.2
    20 to 24 years,6.4%,"Davidson County, Tennessee!!Female!!Margin of Error",±0.1
    25 to 29 years,7.4%,"Davidson County, Tennessee!!Female!!Margin of Error",±0.1
    30 to 34 years,7.6%,"Davidson County, Tennessee!!Female!!Margin of Error",±0.1
    35 to 39 years,7.8%,"Davidson County, Tennessee!!Female!!Margin of Error",±0.5
    40 to 44 years,7.8%,"Davidson County, Tennessee!!Female!!Margin of Error",±0.5
    45 to 49 years,7.7%,"Davidson County, Tennessee!!Female!!Margin of Error",±0.1
    50 to 54 years,7.1%,"Davidson County, Tennessee!!Female!!Margin of Error",±0.1
    55 to 59 years,5.6%,"Davidson County, Tennessee!!Female!!Margin of Error",±0.5
    60 to 64 years,4.9%,"Davidson County, Tennessee!!Female!!Margin of Error",±0.4
    65 to 69 years,3.5%,"Davidson County, Tennessee!!Female!!Margin of Error",±0.4
    70 to 74 years,2.5%,"Davidson County, Tennessee!!Female!!Margin of Error",±0.3
    75 to 79 years,1.9%,"Davidson County, Tennessee!!Female!!Margin of Error",±0.4
    80 to 84 years,1.6%,"Davidson County, Tennessee!!Female!!Margin of Error",±0.3
    85 years and over,1.6%,"Davidson County, Tennessee!!Female!!Margin of Error",±0.3
SELECTED AGE CATEGORIES,,"Davidson County, Tennessee!!Female!!Margin of Error",
    5 to 14 years,13.2%,"Davidson County, Tennessee!!Female!!Margin of Error",±0.1
    15 to 17 years,3.9%,"Davidson County, Tennessee!!Female!!Margin of Error",±0.2
    18 to 24 years,8.9%,"Davidson County, Tennessee!!Female!!Margin of Error",±0.1
    15 to 44 years,43.5%,"Davidson County, Tennessee!!Female!!Margin of Error",±0.1
    16 years and over,78.4%,"Davidson County, Tennessee!!Female!!Margin of Error",±0.2
    18 years and over,75.9%,"Davidson County, Tennessee!!Female!!Margin of Error",±0.2
    60 years and over,15.9%,"Davidson County, Tennessee!!Female!!Margin of Error",±0.5
    62 years and over,13.8%,"Davidson County, Tennessee!!Female!!Margin of Error",±0.4
    65 years and over,11.1%,"Davidson County, Tennessee!!Female!!Margin of Error",±0.2
    75 years and over,5.1%,"Davidson County, Tennessee!!Female!!Margin of Error",±0.1
SUMMARY INDICATORS,,"Davidson County, Tennessee!!Female!!Margin of Error",
    Median age (years),36.2,"Davidson County, Tennessee!!Female!!Margin of Error",±0.1
    Sex ratio (males per 100 females),100.6,"Davidson County, Tennessee!!Female!!Margin of Error",(X)
    Age dependency ratio,54.2,"Davidson County, Tennessee!!Female!!Margin of Error",(X)
        Old-Age dependency ratio,17.1,"Davidson County, Tennessee!!Female!!Margin of Error",(X)
        Child dependency ratio,37.2,"Davidson County, Tennessee!!Female!!Margin of Error",(X)
PERCENT IMPUTED,,"Davidson County, Tennessee!!Female!!Margin of Error",
    Sex,0.2%,"Davidson County, Tennessee!!Female!!Margin of Error",(X)
    Age,1.6%,"Davidson County, Tennessee!!Female!!Margin of Error",(X)
Total population,"1,787,694","Dallas County, Texas!!Total!!Estimate","2,377,351"
AGE,,"Dallas County, Texas!!Total!!Estimate",
    Under 5 years,7.0%,"Dallas County, Texas!!Total!!Estimate",8.1%
    5 to 9 years,6.8%,"Dallas County, Texas!!Total!!Estimate",7.7%
    10 to 14 years,6.5%,"Dallas County, Texas!!Total!!Estimate",7.4%
    15 to 19 years,6.4%,"Dallas County, Texas!!Total!!Estimate",7.1%
    20 to 24 years,6.4%,"Dallas County, Texas!!Total!!Estimate",7.3%
    25 to 29 years,7.4%,"Dallas County, Texas!!Total!!Estimate",8.3%
    30 to 34 years,7.6%,"Dallas County, Texas!!Total!!Estimate",7.9%
    35 to 39 years,7.8%,"Dallas County, Texas!!Total!!Estimate",7.4%
    40 to 44 years,7.8%,"Dallas County, Texas!!Total!!Estimate",7.0%
    45 to 49 years,7.7%,"Dallas County, Texas!!Total!!Estimate",6.9%
    50 to 54 years,7.1%,"Dallas County, Texas!!Total!!Estimate",6.5%
    55 to 59 years,5.6%,"Dallas County, Texas!!Total!!Estimate",5.2%
    60 to 64 years,4.9%,"Dallas County, Texas!!Total!!Estimate",4.3%
    65 to 69 years,3.5%,"Dallas County, Texas!!Total!!Estimate",2.9%
    70 to 74 years,2.5%,"Dallas County, Texas!!Total!!Estimate",2.0%
    75 to 79 years,1.9%,"Dallas County, Texas!!Total!!Estimate",1.5%
    80 to 84 years,1.6%,"Dallas County, Texas!!Total!!Estimate",1.2%
    85 years and over,1.6%,"Dallas County, Texas!!Total!!Estimate",1.1%
SELECTED AGE CATEGORIES,,"Dallas County, Texas!!Total!!Estimate",
    5 to 14 years,13.2%,"Dallas County, Texas!!Total!!Estimate",15.1%
    15 to 17 years,3.9%,"Dallas County, Texas!!Total!!Estimate",4.4%
    18 to 24 years,8.9%,"Dallas County, Texas!!Total!!Estimate",10.0%
    15 to 44 years,43.5%,"Dallas County, Texas!!Total!!Estimate",45.1%
    16 years and over,78.4%,"Dallas County, Texas!!Total!!Estimate",75.3%
    18 years and over,75.9%,"Dallas County, Texas!!Total!!Estimate",72.4%
    60 years and over,15.9%,"Dallas County, Texas!!Total!!Estimate",13.1%
    62 years and over,13.8%,"Dallas County, Texas!!Total!!Estimate",11.2%
    65 years and over,11.1%,"Dallas County, Texas!!Total!!Estimate",8.8%
    75 years and over,5.1%,"Dallas County, Texas!!Total!!Estimate",3.9%
SUMMARY INDICATORS,,"Dallas County, Texas!!Total!!Estimate",
    Median age (years),36.2,"Dallas County, Texas!!Total!!Estimate",32.4
    Sex ratio (males per 100 females),100.6,"Dallas County, Texas!!Total!!Estimate",97.9
    Age dependency ratio,54.2,"Dallas County, Texas!!Total!!Estimate",57.2
        Old-Age dependency ratio,17.1,"Dallas County, Texas!!Total!!Estimate",13.8
        Child dependency ratio,37.2,"Dallas County, Texas!!Total!!Estimate",43.4
PERCENT IMPUTED,,"Dallas County, Texas!!Total!!Estimate",
    Sex,0.2%,"Dallas County, Texas!!Total!!Estimate",0.1%
    Age,1.6%,"Dallas County, Texas!!Total!!Estimate",1.3%
Total population,"1,787,694","Dallas County, Texas!!Total!!Margin of Error",*****
AGE,,"Dallas County, Texas!!Total!!Margin of Error",
    Under 5 years,7.0%,"Dallas County, Texas!!Total!!Margin of Error",±0.1
    5 to 9 years,6.8%,"Dallas County, Texas!!Total!!Margin of Error",±0.2
    10 to 14 years,6.5%,"Dallas County, Texas!!Total!!Margin of Error",±0.2
    15 to 19 years,6.4%,"Dallas County, Texas!!Total!!Margin of Error",±0.1
    20 to 24 years,6.4%,"Dallas County, Texas!!Total!!Margin of Error",±0.1
    25 to 29 years,7.4%,"Dallas County, Texas!!Total!!Margin of Error",±0.1
    30 to 34 years,7.6%,"Dallas County, Texas!!Total!!Margin of Error",±0.1
    35 to 39 years,7.8%,"Dallas County, Texas!!Total!!Margin of Error",±0.2
    40 to 44 years,7.8%,"Dallas County, Texas!!Total!!Margin of Error",±0.2
    45 to 49 years,7.7%,"Dallas County, Texas!!Total!!Margin of Error",±0.1
    50 to 54 years,7.1%,"Dallas County, Texas!!Total!!Margin of Error",±0.1
    55 to 59 years,5.6%,"Dallas County, Texas!!Total!!Margin of Error",±0.2
    60 to 64 years,4.9%,"Dallas County, Texas!!Total!!Margin of Error",±0.2
    65 to 69 years,3.5%,"Dallas County, Texas!!Total!!Margin of Error",±0.1
    70 to 74 years,2.5%,"Dallas County, Texas!!Total!!Margin of Error",±0.1
    75 to 79 years,1.9%,"Dallas County, Texas!!Total!!Margin of Error",±0.1
    80 to 84 years,1.6%,"Dallas County, Texas!!Total!!Margin of Error",±0.1
    85 years and over,1.6%,"Dallas County, Texas!!Total!!Margin of Error",±0.1
SELECTED AGE CATEGORIES,,"Dallas County, Texas!!Total!!Margin of Error",
    5 to 14 years,13.2%,"Dallas County, Texas!!Total!!Margin of Error",±0.1
    15 to 17 years,3.9%,"Dallas County, Texas!!Total!!Margin of Error",±0.1
    18 to 24 years,8.9%,"Dallas County, Texas!!Total!!Margin of Error",±0.1
    15 to 44 years,43.5%,"Dallas County, Texas!!Total!!Margin of Error",±0.1
    16 years and over,78.4%,"Dallas County, Texas!!Total!!Margin of Error",±0.1
    18 years and over,75.9%,"Dallas County, Texas!!Total!!Margin of Error",±0.1
    60 years and over,15.9%,"Dallas County, Texas!!Total!!Margin of Error",±0.2
    62 years and over,13.8%,"Dallas County, Texas!!Total!!Margin of Error",±0.2
    65 years and over,11.1%,"Dallas County, Texas!!Total!!Margin of Error",±0.1
    75 years and over,5.1%,"Dallas County, Texas!!Total!!Margin of Error",±0.1
SUMMARY INDICATORS,,"Dallas County, Texas!!Total!!Margin of Error",
    Median age (years),36.2,"Dallas County, Texas!!Total!!Margin of Error",±0.2
    Sex ratio (males per 100 females),100.6,"Dallas County, Texas!!Total!!Margin of Error",±0.1
    Age dependency ratio,54.2,"Dallas County, Texas!!Total!!Margin of Error",±0.1
        Old-Age dependency ratio,17.1,"Dallas County, Texas!!Total!!Margin of Error",±0.1
        Child dependency ratio,37.2,"Dallas County, Texas!!Total!!Margin of Error",±0.1
PERCENT IMPUTED,,"Dallas County, Texas!!Total!!Margin of Error",
    Sex,0.2%,"Dallas County, Texas!!Total!!Margin of Error",(X)
    Age,1.6%,"Dallas County, Texas!!Total!!Margin of Error",(X)
Total population,"1,787,694","Dallas County, Texas!!Male!!Estimate","1,176,082"
AGE,,"Dallas County, Texas!!Male!!Estimate",
    Under 5 years,7.0%,"Dallas County, Texas!!Male!!Estimate",8.4%
    5 to 9 years,6.8%,"Dallas County, Texas!!Male!!Estimate",8.0%
    10 to 14 years,6.5%,"Dallas County, Texas!!Male!!Estimate",7.6%
    15 to 19 years,6.4%,"Dallas County, Texas!!Male!!Estimate",7.4%
    20 to 24 years,6.4%,"Dallas County, Texas!!Male!!Estimate",7.5%
    25 to 29 years,7.4%,"Dallas County, Texas!!Male!!Estimate",8.5%
    30 to 34 years,7.6%,"Dallas County, Texas!!Male!!Estimate",8.0%
    35 to 39 years,7.8%,"Dallas County, Texas!!Male!!Estimate",7.7%
    40 to 44 years,7.8%,"Dallas County, Texas!!Male!!Estimate",7.0%
    45 to 49 years,7.7%,"Dallas County, Texas!!Male!!Estimate",7.0%
    50 to 54 years,7.1%,"Dallas County, Texas!!Male!!Estimate",6.4%
    55 to 59 years,5.6%,"Dallas County, Texas!!Male!!Estimate",5.1%
    60 to 64 years,4.9%,"Dallas County, Texas!!Male!!Estimate",4.0%
    65 to 69 years,3.5%,"Dallas County, Texas!!Male!!Estimate",2.8%
    70 to 74 years,2.5%,"Dallas County, Texas!!Male!!Estimate",1.8%
    75 to 79 years,1.9%,"Dallas County, Texas!!Male!!Estimate",1.3%
    80 to 84 years,1.6%,"Dallas County, Texas!!Male!!Estimate",1.0%
    85 years and over,1.6%,"Dallas County, Texas!!Male!!Estimate",0.7%
SELECTED AGE CATEGORIES,,"Dallas County, Texas!!Male!!Estimate",
    5 to 14 years,13.2%,"Dallas County, Texas!!Male!!Estimate",15.5%
    15 to 17 years,3.9%,"Dallas County, Texas!!Male!!Estimate",4.5%
