Label (Grouping),"Santa Clara County, California!!Estimate",characteristic,value
    Less than 15.0 percent,"36,283","Davidson County, Tennessee!!Percent Margin of Error",±1.4
    15.0 to 19.9 percent,"35,384","Davidson County, Tennessee!!Percent Margin of Error",±2.0
    20.0 to 24.9 percent,"29,917","Davidson County, Tennessee!!Percent Margin of Error",±2.0
    25.0 to 29.9 percent,"27,507","Davidson County, Tennessee!!Percent Margin of Error",±1.7
    30.0 to 34.9 percent,"23,888","Davidson County, Tennessee!!Percent Margin of Error",±1.7
    35.0 percent or more,"93,855","Davidson County, Tennessee!!Percent Margin of Error",±2.6
    Not computed,"9,446","Davidson County, Tennessee!!Percent Margin of Error",(X)
HOUSING OCCUPANCY,,"Dallas County, Texas!!Estimate",
    Total housing units,"631,955","Dallas County, Texas!!Estimate","943,876"
    Occupied housing units,"599,235","Dallas County, Texas!!Estimate","843,416"
    Vacant housing units,"32,720","Dallas County, Texas!!Estimate","100,460"
    Homeowner vacancy rate,1.8,"Dallas County, Texas!!Estimate",2.3
    Rental vacancy rate,4.1,"Dallas County, Texas!!Estimate",11.1
UNITS IN STRUCTURE,,"Dallas County, Texas!!Estimate",
    Total housing units,"631,955","Dallas County, Texas!!Estimate","943,876"
"    1-unit, detached","332,653","Dallas County, Texas!!Estimate","521,699"
"    1-unit, attached","68,576","Dallas County, Texas!!Estimate","38,986"
    2 units,"14,314","Dallas County, Texas!!Estimate","11,894"
    3 or 4 units,"38,225","Dallas County, Texas!!Estimate","35,178"
    5 to 9 units,"35,293","Dallas County, Texas!!Estimate","90,682"
    10 to 19 units,"31,079","Dallas County, Texas!!Estimate","98,158"
    20 or more units,"92,993","Dallas County, Texas!!Estimate","131,124"
    Mobile home,"18,161","Dallas County, Texas!!Estimate","15,952"
"    Boat, RV, van, etc.",661,"Dallas County, Texas!!Estimate",203
YEAR STRUCTURE BUILT,,"Dallas County, Texas!!Estimate",
    Total housing units,"631,955","Dallas County, Texas!!Estimate","943,876"
    Built 2005 or later,"27,044","Dallas County, Texas!!Estimate","58,497"
    Built 2000 to 2004,"37,364","Dallas County, Texas!!Estimate","79,081"
    Built 1990 to 1999,"66,881","Dallas County, Texas!!Estimate","107,209"
    Built 1980 to 1989,"75,301","Dallas County, Texas!!Estimate","186,357"
    Built 1970 to 1979,"142,515","Dallas County, Texas!!Estimate","177,810"
    Built 1960 to 1969,"125,418","Dallas County, Texas!!Estimate","141,678"
    Built 1950 to 1959,"97,176","Dallas County, Texas!!Estimate","115,521"
    Built 1940 to 1949,"26,180","Dallas County, Texas!!Estimate","40,637"
    Built 1939 or earlier,"34,076","Dallas County, Texas!!Estimate","37,086"
ROOMS,,"Dallas County, Texas!!Estimate",
    Total housing units,"631,955","Dallas County, Texas!!Estimate","943,876"
    1 room,"18,306","Dallas County, Texas!!Estimate","19,263"
    2 rooms,"25,842","Dallas County, Texas!!Estimate","24,263"
    3 rooms,"77,744","Dallas County, Texas!!Estimate","144,418"
    4 rooms,"122,207","Dallas County, Texas!!Estimate","171,198"
    5 rooms,"113,419","Dallas County, Texas!!Estimate","179,302"
    6 rooms,"108,419","Dallas County, Texas!!Estimate","175,025"
    7 rooms,"77,656","Dallas County, Texas!!Estimate","94,425"
    8 rooms,"46,464","Dallas County, Texas!!Estimate","63,907"
    9 rooms or more,"41,898","Dallas County, Texas!!Estimate","72,075"
    Median rooms,5.1,"Dallas County, Texas!!Estimate",5.1
BEDROOMS,,"Dallas County, Texas!!Estimate",
    Total housing units,"631,955","Dallas County, Texas!!Estimate","943,876"
    No bedroom,"19,944","Dallas County, Texas!!Estimate","20,487"
    1 bedroom,"89,100","Dallas County, Texas!!Estimate","186,362"
    2 bedrooms,"162,836","Dallas County, Texas!!Estimate","238,204"
    3 bedrooms,"202,224","Dallas County, Texas!!Estimate","339,555"
    4 bedrooms,"122,330","Dallas County, Texas!!Estimate","136,071"
    5 or more bedrooms,"35,521","Dallas County, Texas!!Estimate","23,197"
HOUSING TENURE,,"Dallas County, Texas!!Estimate",
    Occupied housing units,"599,235","Dallas County, Texas!!Estimate","843,416"
    Owner-occupied,"342,955","Dallas County, Texas!!Estimate","448,918"
    Renter-occupied,"256,280","Dallas County, Texas!!Estimate","394,498"
    Average household size of owner-occupied unit,3.01,"Dallas County, Texas!!Estimate",2.93
    Average household size of renter-occupied unit,2.86,"Dallas County, Texas!!Estimate",2.60
YEAR HOUSEHOLDER MOVED INTO UNIT,,"Dallas County, Texas!!Estimate",
    Occupied housing units,"599,235","Dallas County, Texas!!Estimate","843,416"
    Moved in 2005 or later,"282,245","Dallas County, Texas!!Estimate","465,673"
    Moved in 2000 to 2004,"101,772","Dallas County, Texas!!Estimate","132,991"
    Moved in 1990 to 1999,"101,476","Dallas County, Texas!!Estimate","128,011"
    Moved in 1980 to 1989,"50,775","Dallas County, Texas!!Estimate","52,437"
    Moved in 1970 to 1979,"35,403","Dallas County, Texas!!Estimate","36,573"
    Moved in 1969 or earlier,"27,564","Dallas County, Texas!!Estimate","27,731"
VEHICLES AVAILABLE,,"Dallas County, Texas!!Estimate",
    Occupied housing units,"599,235","Dallas County, Texas!!Estimate","843,416"
    No vehicles available,"31,267","Dallas County, Texas!!Estimate","57,890"
    1 vehicle available,"168,953","Dallas County, Texas!!Estimate","335,530"
    2 vehicles available,"249,590","Dallas County, Texas!!Estimate","314,965"
    3 or more vehicles available,"149,425","Dallas County, Texas!!Estimate","135,031"
HOUSE HEATING FUEL,,"Dallas County, Texas!!Estimate",
    Occupied housing units,"599,235","Dallas County, Texas!!Estimate","843,416"
    Utility gas,"401,603","Dallas County, Texas!!Estimate","326,318"
"    Bottled, tank, or LP gas","8,862","Dallas County, Texas!!Estimate","5,117"
    Electricity,"178,541","Dallas County, Texas!!Estimate","509,682"
"    Fuel oil, kerosene, etc.",462,"Dallas County, Texas!!Estimate",174
    Coal or coke,0,"Dallas County, Texas!!Estimate",0
    Wood,"1,887","Dallas County, Texas!!Estimate",417
    Solar energy,850,"Dallas County, Texas!!Estimate",44
    Other fuel,"1,238","Dallas County, Texas!!Estimate",258
    No fuel used,"5,792","Dallas County, Texas!!Estimate","1,406"
SELECTED CHARACTERISTICS,,"Dallas County, Texas!!Estimate",
    Occupied housing units,"599,235","Dallas County, Texas!!Estimate","843,416"
    Lacking complete plumbing facilities,"3,645","Dallas County, Texas!!Estimate","4,247"
    Lacking complete kitchen facilities,"6,765","Dallas County, Texas!!Estimate","7,170"
    No telephone service available,"10,027","Dallas County, Texas!!Estimate","17,779"
OCCUPANTS PER ROOM,,"Dallas County, Texas!!Estimate",
    Occupied housing units,"599,235","Dallas County, Texas!!Estimate","843,416"
    1.00 or less,"551,916","Dallas County, Texas!!Estimate","783,874"
    1.01 to 1.50,"32,292","Dallas County, Texas!!Estimate","42,260"
    1.51 or more,"15,027","Dallas County, Texas!!Estimate","17,282"
VALUE,,"Dallas County, Texas!!Estimate",
    Owner-occupied units,"342,955","Dallas County, Texas!!Estimate","448,918"
"    Less than $50,000","7,522","Dallas County, Texas!!Estimate","30,301"
"    $50,000 to $99,999","9,155","Dallas County, Texas!!Estimate","113,327"
"    $100,000 to $149,999","4,362","Dallas County, Texas!!Estimate","119,343"
"    $150,000 to $199,999","5,612","Dallas County, Texas!!Estimate","63,981"
"    $200,000 to $299,999","16,502","Dallas County, Texas!!Estimate","57,315"
"    $300,000 to $499,999","70,855","Dallas County, Texas!!Estimate","37,670"
"    $500,000 to $999,999","161,903","Dallas County, Texas!!Estimate","19,241"
"    $1,000,000 or more","67,044","Dallas County, Texas!!Estimate","7,740"
    Median (dollars),"639,400","Dallas County, Texas!!Estimate","129,300"
MORTGAGE STATUS,,"Dallas County, Texas!!Estimate",
    Owner-occupied units,"342,955","Dallas County, Texas!!Estimate","448,918"
    Housing units with a mortgage,"256,276","Dallas County, Texas!!Estimate","311,935"
    Housing units without a mortgage,"86,679","Dallas County, Texas!!Estimate","136,983"
SELECTED MONTHLY OWNER COSTS (SMOC),,"Dallas County, Texas!!Estimate",
    Housing units with a mortgage,"256,276","Dallas County, Texas!!Estimate","311,935"
    Less than $300,441,"Dallas County, Texas!!Estimate",55
    $300 to $499,"1,586","Dallas County, Texas!!Estimate","3,103"
    $500 to $699,"2,152","Dallas County, Texas!!Estimate","10,300"
    $700 to $999,"4,788","Dallas County, Texas!!Estimate","39,066"
"    $1,000 to $1,499","16,484","Dallas County, Texas!!Estimate","115,767"
"    $1,500 to $1,999","28,710","Dallas County, Texas!!Estimate","69,691"
"    $2,000 or more","202,115","Dallas County, Texas!!Estimate","73,953"
    Median (dollars),"2,994","Dallas County, Texas!!Estimate","1,443"
    Housing units without a mortgage,"86,679","Dallas County, Texas!!Estimate","136,983"
    Less than $100,"1,051","Dallas County, Texas!!Estimate","1,006"
    $100 to $199,"3,040","Dallas County, Texas!!Estimate","3,805"
    $200 to $299,"8,855","Dallas County, Texas!!Estimate","15,946"
    $300 to $399,"14,202","Dallas County, Texas!!Estimate","19,493"
    $400 or more,"59,531","Dallas County, Texas!!Estimate","96,733"
    Median (dollars),539,"Dallas County, Texas!!Estimate",527
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),,"Dallas County, Texas!!Estimate",
    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),"255,336","Dallas County, Texas!!Estimate","310,211"
    Less than 20.0 percent,"61,314","Dallas County, Texas!!Estimate","107,386"
    20.0 to 24.9 percent,"37,831","Dallas County, Texas!!Estimate","50,155"
    25.0 to 29.9 percent,"31,228","Dallas County, Texas!!Estimate","36,860"
    30.0 to 34.9 percent,"27,748","Dallas County, Texas!!Estimate","27,941"
    35.0 percent or more,"97,215","Dallas County, Texas!!Estimate","87,869"
    Not computed,940,"Dallas County, Texas!!Estimate","1,724"
    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),"85,119","Dallas County, Texas!!Estimate","135,379"
    Less than 10.0 percent,"43,387","Dallas County, Texas!!Estimate","45,898"
    10.0 to 14.9 percent,"14,242","Dallas County, Texas!!Estimate","30,191"
    15.0 to 19.9 percent,"8,796","Dallas County, Texas!!Estimate","17,372"
    20.0 to 24.9 percent,"5,781","Dallas County, Texas!!Estimate","11,075"
    25.0 to 29.9 percent,"2,687","Dallas County, Texas!!Estimate","8,194"
    30.0 to 34.9 percent,"2,337","Dallas County, Texas!!Estimate","5,391"
    35.0 percent or more,"7,889","Dallas County, Texas!!Estimate","17,258"
    Not computed,"1,560","Dallas County, Texas!!Estimate","1,604"
GROSS RENT,,"Dallas County, Texas!!Estimate",
    Occupied units paying rent,"250,980","Dallas County, Texas!!Estimate","384,011"
    Less than $200,"1,021","Dallas County, Texas!!Estimate","5,256"
    $200 to $299,"5,127","Dallas County, Texas!!Estimate","4,224"
    $300 to $499,"5,300","Dallas County, Texas!!Estimate","17,951"
    $500 to $749,"13,324","Dallas County, Texas!!Estimate","119,461"
    $750 to $999,"26,134","Dallas County, Texas!!Estimate","113,779"
"    $1,000 to $1,499","90,157","Dallas County, Texas!!Estimate","93,761"
"    $1,500 or more","109,917","Dallas County, Texas!!Estimate","29,579"
    Median (dollars),"1,418","Dallas County, Texas!!Estimate",836
    No rent paid,"5,300","Dallas County, Texas!!Estimate","10,487"
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),,"Dallas County, Texas!!Estimate",
    Occupied units paying rent (excluding units where GRAPI cannot be computed),"246,834","Dallas County, Texas!!Estimate","374,383"
    Less than 15.0 percent,"36,283","Dallas County, Texas!!Estimate","44,054"
    15.0 to 19.9 percent,"35,384","Dallas County, Texas!!Estimate","47,499"
    20.0 to 24.9 percent,"29,917","Dallas County, Texas!!Estimate","52,580"
    25.0 to 29.9 percent,"27,507","Dallas County, Texas!!Estimate","43,569"
    30.0 to 34.9 percent,"23,888","Dallas County, Texas!!Estimate","33,645"
    35.0 percent or more,"93,855","Dallas County, Texas!!Estimate","153,036"
    Not computed,"9,446","Dallas County, Texas!!Estimate","20,115"
HOUSING OCCUPANCY,,"Dallas County, Texas!!Estimate Margin of Error",
    Total housing units,"631,955","Dallas County, Texas!!Estimate Margin of Error","±1,548"
    Occupied housing units,"599,235","Dallas County, Texas!!Estimate Margin of Error","±4,626"
    Vacant housing units,"32,720","Dallas County, Texas!!Estimate Margin of Error","±4,739"
    Homeowner vacancy rate,1.8,"Dallas County, Texas!!Estimate Margin of Error",±0.5
    Rental vacancy rate,4.1,"Dallas County, Texas!!Estimate Margin of Error",±0.8
UNITS IN STRUCTURE,,"Dallas County, Texas!!Estimate Margin of Error",
    Total housing units,"631,955","Dallas County, Texas!!Estimate Margin of Error","±1,548"
"    1-unit, detached","332,653","Dallas County, Texas!!Estimate Margin of Error","±7,257"
"    1-unit, attached","68,576","Dallas County, Texas!!Estimate Margin of Error","±2,552"
    2 units,"14,314","Dallas County, Texas!!Estimate Margin of Error","±2,030"
    3 or 4 units,"38,225","Dallas County, Texas!!Estimate Margin of Error","±3,115"
    5 to 9 units,"35,293","Dallas County, Texas!!Estimate Margin of Error","±4,875"
    10 to 19 units,"31,079","Dallas County, Texas!!Estimate Margin of Error","±5,323"
    20 or more units,"92,993","Dallas County, Texas!!Estimate Margin of Error","±4,834"
    Mobile home,"18,161","Dallas County, Texas!!Estimate Margin of Error","±2,199"
"    Boat, RV, van, etc.",661,"Dallas County, Texas!!Estimate Margin of Error",±252
YEAR STRUCTURE BUILT,,"Dallas County, Texas!!Estimate Margin of Error",
    Total housing units,"631,955","Dallas County, Texas!!Estimate Margin of Error","±1,548"
    Built 2005 or later,"27,044","Dallas County, Texas!!Estimate Margin of Error","±4,091"
    Built 2000 to 2004,"37,364","Dallas County, Texas!!Estimate Margin of Error","±4,265"
    Built 1990 to 1999,"66,881","Dallas County, Texas!!Estimate Margin of Error","±4,570"
    Built 1980 to 1989,"75,301","Dallas County, Texas!!Estimate Margin of Error","±5,748"
    Built 1970 to 1979,"142,515","Dallas County, Texas!!Estimate Margin of Error","±5,173"
    Built 1960 to 1969,"125,418","Dallas County, Texas!!Estimate Margin of Error","±5,105"
    Built 1950 to 1959,"97,176","Dallas County, Texas!!Estimate Margin of Error","±3,943"
    Built 1940 to 1949,"26,180","Dallas County, Texas!!Estimate Margin of Error","±2,793"
    Built 1939 or earlier,"34,076","Dallas County, Texas!!Estimate Margin of Error","±2,452"
ROOMS,,"Dallas County, Texas!!Estimate Margin of Error",
    Total housing units,"631,955","Dallas County, Texas!!Estimate Margin of Error","±1,548"
    1 room,"18,306","Dallas County, Texas!!Estimate Margin of Error","±2,480"
    2 rooms,"25,842","Dallas County, Texas!!Estimate Margin of Error","±2,346"
    3 rooms,"77,744","Dallas County, Texas!!Estimate Margin of Error","±5,643"
    4 rooms,"122,207","Dallas County, Texas!!Estimate Margin of Error","±7,044"
    5 rooms,"113,419","Dallas County, Texas!!Estimate Margin of Error","±5,663"
    6 rooms,"108,419","Dallas County, Texas!!Estimate Margin of Error","±5,847"
    7 rooms,"77,656","Dallas County, Texas!!Estimate Margin of Error","±4,933"
    8 rooms,"46,464","Dallas County, Texas!!Estimate Margin of Error","±3,577"
    9 rooms or more,"41,898","Dallas County, Texas!!Estimate Margin of Error","±3,298"
    Median rooms,5.1,"Dallas County, Texas!!Estimate Margin of Error",±0.1
BEDROOMS,,"Dallas County, Texas!!Estimate Margin of Error",
    Total housing units,"631,955","Dallas County, Texas!!Estimate Margin of Error","±1,548"
    No bedroom,"19,944","Dallas County, Texas!!Estimate Margin of Error","±2,505"
    1 bedroom,"89,100","Dallas County, Texas!!Estimate Margin of Error","±6,376"
    2 bedrooms,"162,836","Dallas County, Texas!!Estimate Margin of Error","±6,745"
    3 bedrooms,"202,224","Dallas County, Texas!!Estimate Margin of Error","±7,415"
    4 bedrooms,"122,330","Dallas County, Texas!!Estimate Margin of Error","±5,644"
    5 or more bedrooms,"35,521","Dallas County, Texas!!Estimate Margin of Error","±2,202"
HOUSING TENURE,,"Dallas County, Texas!!Estimate Margin of Error",
    Occupied housing units,"599,235","Dallas County, Texas!!Estimate Margin of Error","±4,626"
    Owner-occupied,"342,955","Dallas County, Texas!!Estimate Margin of Error","±6,552"
    Renter-occupied,"256,280","Dallas County, Texas!!Estimate Margin of Error","±7,447"
    Average household size of owner-occupied unit,3.01,"Dallas County, Texas!!Estimate Margin of Error",±0.04
    Average household size of renter-occupied unit,2.86,"Dallas County, Texas!!Estimate Margin of Error",±0.04
YEAR HOUSEHOLDER MOVED INTO UNIT,,"Dallas County, Texas!!Estimate Margin of Error",
    Occupied housing units,"599,235","Dallas County, Texas!!Estimate Margin of Error","±4,626"
    Moved in 2005 or later,"282,245","Dallas County, Texas!!Estimate Margin of Error","±7,142"
    Moved in 2000 to 2004,"101,772","Dallas County, Texas!!Estimate Margin of Error","±5,345"
    Moved in 1990 to 1999,"101,476","Dallas County, Texas!!Estimate Margin of Error","±5,166"
    Moved in 1980 to 1989,"50,775","Dallas County, Texas!!Estimate Margin of Error","±3,079"
    Moved in 1970 to 1979,"35,403","Dallas County, Texas!!Estimate Margin of Error","±2,644"
    Moved in 1969 or earlier,"27,564","Dallas County, Texas!!Estimate Margin of Error","±1,986"
VEHICLES AVAILABLE,,"Dallas County, Texas!!Estimate Margin of Error",
    Occupied housing units,"599,235","Dallas County, Texas!!Estimate Margin of Error","±4,626"
    No vehicles available,"31,267","Dallas County, Texas!!Estimate Margin of Error","±3,667"
    1 vehicle available,"168,953","Dallas County, Texas!!Estimate Margin of Error","±6,361"
    2 vehicles available,"249,590","Dallas County, Texas!!Estimate Margin of Error","±7,220"
    3 or more vehicles available,"149,425","Dallas County, Texas!!Estimate Margin of Error","±6,100"
HOUSE HEATING FUEL,,"Dallas County, Texas!!Estimate Margin of Error",
    Occupied housing units,"599,235","Dallas County, Texas!!Estimate Margin of Error","±4,626"
    Utility gas,"401,603","Dallas County, Texas!!Estimate Margin of Error","±6,862"
"    Bottled, tank, or LP gas","8,862","Dallas County, Texas!!Estimate Margin of Error","±1,041"
    Electricity,"178,541","Dallas County, Texas!!Estimate Margin of Error","±7,729"
"    Fuel oil, kerosene, etc.",462,"Dallas County, Texas!!Estimate Margin of Error",±203
    Coal or coke,0,"Dallas County, Texas!!Estimate Margin of Error",±294
    Wood,"1,887","Dallas County, Texas!!Estimate Margin of Error",±365
    Solar energy,850,"Dallas County, Texas!!Estimate Margin of Error",±72
    Other fuel,"1,238","Dallas County, Texas!!Estimate Margin of Error",±194
    No fuel used,"5,792","Dallas County, Texas!!Estimate Margin of Error",±470
SELECTED CHARACTERISTICS,,"Dallas County, Texas!!Estimate Margin of Error",
    Occupied housing units,"599,235","Dallas County, Texas!!Estimate Margin of Error","±4,626"
    Lacking complete plumbing facilities,"3,645","Dallas County, Texas!!Estimate Margin of Error","±1,158"
    Lacking complete kitchen facilities,"6,765","Dallas County, Texas!!Estimate Margin of Error","±1,299"
    No telephone service available,"10,027","Dallas County, Texas!!Estimate Margin of Error","±2,310"
OCCUPANTS PER ROOM,,"Dallas County, Texas!!Estimate Margin of Error",
    Occupied housing units,"599,235","Dallas County, Texas!!Estimate Margin of Error","±4,626"
    1.00 or less,"551,916","Dallas County, Texas!!Estimate Margin of Error","±5,418"
    1.01 to 1.50,"32,292","Dallas County, Texas!!Estimate Margin of Error","±3,777"
    1.51 or more,"15,027","Dallas County, Texas!!Estimate Margin of Error","±2,272"
VALUE,,"Dallas County, Texas!!Estimate Margin of Error",
    Owner-occupied units,"342,955","Dallas County, Texas!!Estimate Margin of Error","±6,552"
"    Less than $50,000","7,522","Dallas County, Texas!!Estimate Margin of Error","±2,659"
"    $50,000 to $99,999","9,155","Dallas County, Texas!!Estimate Margin of Error","±5,053"
"    $100,000 to $149,999","4,362","Dallas County, Texas!!Estimate Margin of Error","±5,533"
"    $150,000 to $199,999","5,612","Dallas County, Texas!!Estimate Margin of Error","±4,044"
"    $200,000 to $299,999","16,502","Dallas County, Texas!!Estimate Margin of Error","±3,352"
"    $300,000 to $499,999","70,855","Dallas County, Texas!!Estimate Margin of Error","±2,201"
"    $500,000 to $999,999","161,903","Dallas County, Texas!!Estimate Margin of Error","±1,920"
"    $1,000,000 or more","67,044","Dallas County, Texas!!Estimate Margin of Error",±984
    Median (dollars),"639,400","Dallas County, Texas!!Estimate Margin of Error","±2,620"
MORTGAGE STATUS,,"Dallas County, Texas!!Estimate Margin of Error",
    Owner-occupied units,"342,955","Dallas County, Texas!!Estimate Margin of Error","±6,552"
    Housing units with a mortgage,"256,276","Dallas County, Texas!!Estimate Margin of Error","±6,743"
    Housing units without a mortgage,"86,679","Dallas County, Texas!!Estimate Margin of Error","±4,287"
SELECTED MONTHLY OWNER COSTS (SMOC),,"Dallas County, Texas!!Estimate Margin of Error",
    Housing units with a mortgage,"256,276","Dallas County, Texas!!Estimate Margin of Error","±6,743"
    Less than $300,441,"Dallas County, Texas!!Estimate Margin of Error",±92
    $300 to $499,"1,586","Dallas County, Texas!!Estimate Margin of Error",±922
    $500 to $699,"2,152","Dallas County, Texas!!Estimate Margin of Error","±1,301"
    $700 to $999,"4,788","Dallas County, Texas!!Estimate Margin of Error","±2,786"
"    $1,000 to $1,499","16,484","Dallas County, Texas!!Estimate Margin of Error","±5,695"
"    $1,500 to $1,999","28,710","Dallas County, Texas!!Estimate Margin of Error","±3,598"
"    $2,000 or more","202,115","Dallas County, Texas!!Estimate Margin of Error","±3,738"
    Median (dollars),"2,994","Dallas County, Texas!!Estimate Margin of Error",±20
    Housing units without a mortgage,"86,679","Dallas County, Texas!!Estimate Margin of Error","±4,287"
    Less than $100,"1,051","Dallas County, Texas!!Estimate Margin of Error",±431
    $100 to $199,"3,040","Dallas County, Texas!!Estimate Margin of Error",±830
    $200 to $299,"8,855","Dallas County, Texas!!Estimate Margin of Error","±1,891"
    $300 to $399,"14,202","Dallas County, Texas!!Estimate Margin of Error","±1,679"
    $400 or more,"59,531","Dallas County, Texas!!Estimate Margin of Error","±4,435"
    Median (dollars),539,"Dallas County, Texas!!Estimate Margin of Error",±14
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),,"Dallas County, Texas!!Estimate Margin of Error",
    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),"255,336","Dallas County, Texas!!Estimate Margin of Error","±6,815"
    Less than 20.0 percent,"61,314","Dallas County, Texas!!Estimate Margin of Error","±4,737"
    20.0 to 24.9 percent,"37,831","Dallas County, Texas!!Estimate Margin of Error","±3,409"
    25.0 to 29.9 percent,"31,228","Dallas County, Texas!!Estimate Margin of Error","±3,423"
    30.0 to 34.9 percent,"27,748","Dallas County, Texas!!Estimate Margin of Error","±3,087"
    35.0 percent or more,"97,215","Dallas County, Texas!!Estimate Margin of Error","±5,035"
    Not computed,940,"Dallas County, Texas!!Estimate Margin of Error",±624
    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),"85,119","Dallas County, Texas!!Estimate Margin of Error","±4,341"
    Less than 10.0 percent,"43,387","Dallas County, Texas!!Estimate Margin of Error","±3,166"
    10.0 to 14.9 percent,"14,242","Dallas County, Texas!!Estimate Margin of Error","±2,340"
    15.0 to 19.9 percent,"8,796","Dallas County, Texas!!Estimate Margin of Error","±1,795"
    20.0 to 24.9 percent,"5,781","Dallas County, Texas!!Estimate Margin of Error","±1,439"
    25.0 to 29.9 percent,"2,687","Dallas County, Texas!!Estimate Margin of Error","±1,217"
    30.0 to 34.9 percent,"2,337","Dallas County, Texas!!Estimate Margin of Error","±1,013"
    35.0 percent or more,"7,889","Dallas County, Texas!!Estimate Margin of Error","±1,850"
    Not computed,"1,560","Dallas County, Texas!!Estimate Margin of Error",±608
GROSS RENT,,"Dallas County, Texas!!Estimate Margin of Error",
    Occupied units paying rent,"250,980","Dallas County, Texas!!Estimate Margin of Error","±7,396"
    Less than $200,"1,021","Dallas County, Texas!!Estimate Margin of Error","±1,053"
    $200 to $299,"5,127","Dallas County, Texas!!Estimate Margin of Error","±1,086"
    $300 to $499,"5,300","Dallas County, Texas!!Estimate Margin of Error","±2,320"
    $500 to $749,"13,324","Dallas County, Texas!!Estimate Margin of Error","±5,034"
    $750 to $999,"26,134","Dallas County, Texas!!Estimate Margin of Error","±5,482"
"    $1,000 to $1,499","90,157","Dallas County, Texas!!Estimate Margin of Error","±4,212"
"    $1,500 or more","109,917","Dallas County, Texas!!Estimate Margin of Error","±2,854"
    Median (dollars),"1,418","Dallas County, Texas!!Estimate Margin of Error",±9
    No rent paid,"5,300","Dallas County, Texas!!Estimate Margin of Error","±1,556"
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),,"Dallas County, Texas!!Estimate Margin of Error",
    Occupied units paying rent (excluding units where GRAPI cannot be computed),"246,834","Dallas County, Texas!!Estimate Margin of Error","±7,504"
    Less than 15.0 percent,"36,283","Dallas County, Texas!!Estimate Margin of Error","±3,476"
    15.0 to 19.9 percent,"35,384","Dallas County, Texas!!Estimate Margin of Error","±3,862"
    20.0 to 24.9 percent,"29,917","Dallas County, Texas!!Estimate Margin of Error","±3,231"
    25.0 to 29.9 percent,"27,507","Dallas County, Texas!!Estimate Margin of Error","±3,480"
    30.0 to 34.9 percent,"23,888","Dallas County, Texas!!Estimate Margin of Error","±3,724"
    35.0 percent or more,"93,855","Dallas County, Texas!!Estimate Margin of Error","±6,559"
    Not computed,"9,446","Dallas County, Texas!!Estimate Margin of Error","±2,383"
HOUSING OCCUPANCY,,"Dallas County, Texas!!Percent",
    Total housing units,"631,955","Dallas County, Texas!!Percent","943,876"
    Occupied housing units,"599,235","Dallas County, Texas!!Percent",89.4%
    Vacant housing units,"32,720","Dallas County, Texas!!Percent",10.6%
    Homeowner vacancy rate,1.8,"Dallas County, Texas!!Percent",(X)
    Rental vacancy rate,4.1,"Dallas County, Texas!!Percent",(X)
UNITS IN STRUCTURE,,"Dallas County, Texas!!Percent",
    Total housing units,"631,955","Dallas County, Texas!!Percent","943,876"
"    1-unit, detached","332,653","Dallas County, Texas!!Percent",55.3%
"    1-unit, attached","68,576","Dallas County, Texas!!Percent",4.1%
    2 units,"14,314","Dallas County, Texas!!Percent",1.3%
    3 or 4 units,"38,225","Dallas County, Texas!!Percent",3.7%
    5 to 9 units,"35,293","Dallas County, Texas!!Percent",9.6%
    10 to 19 units,"31,079","Dallas County, Texas!!Percent",10.4%
    20 or more units,"92,993","Dallas County, Texas!!Percent",13.9%
    Mobile home,"18,161","Dallas County, Texas!!Percent",1.7%
"    Boat, RV, van, etc.",661,"Dallas County, Texas!!Percent",0.0%
YEAR STRUCTURE BUILT,,"Dallas County, Texas!!Percent",
    Total housing units,"631,955","Dallas County, Texas!!Percent","943,876"
    Built 2005 or later,"27,044","Dallas County, Texas!!Percent",6.2%
    Built 2000 to 2004,"37,364","Dallas County, Texas!!Percent",8.4%
    Built 1990 to 1999,"66,881","Dallas County, Texas!!Percent",11.4%
    Built 1980 to 1989,"75,301","Dallas County, Texas!!Percent",19.7%
    Built 1970 to 1979,"142,515","Dallas County, Texas!!Percent",18.8%
    Built 1960 to 1969,"125,418","Dallas County, Texas!!Percent",15.0%
    Built 1950 to 1959,"97,176","Dallas County, Texas!!Percent",12.2%
    Built 1940 to 1949,"26,180","Dallas County, Texas!!Percent",4.3%
    Built 1939 or earlier,"34,076","Dallas County, Texas!!Percent",3.9%
ROOMS,,"Dallas County, Texas!!Percent",
    Total housing units,"631,955","Dallas County, Texas!!Percent","943,876"
    1 room,"18,306","Dallas County, Texas!!Percent",2.0%
    2 rooms,"25,842","Dallas County, Texas!!Percent",2.6%
    3 rooms,"77,744","Dallas County, Texas!!Percent",15.3%
    4 rooms,"122,207","Dallas County, Texas!!Percent",18.1%
